 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Januar 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Lithium in  H- C- O

 Ion = Lithium [3] , Mass = 7.016 amu

 Target Density =  1.3000E+00 g/cm3 = 1.0561E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = -5.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   3.25 GeV   2.450E-02  6.472E-06  646.63 mm    25.04 mm     5.16 mm  
   3.50 GeV   2.372E-02  6.041E-06  726.40 mm    27.48 mm     5.74 mm  
   3.75 GeV   2.306E-02  5.666E-06  808.60 mm    29.86 mm     6.33 mm  
   4.00 GeV   2.248E-02  5.336E-06  893.05 mm    32.17 mm     6.93 mm  
   4.50 GeV   2.154E-02  4.781E-06    1.07 m     40.60 mm     8.13 mm  
   5.00 GeV   2.080E-02  4.334E-06    1.25 m     48.08 mm     9.36 mm  
   5.50 GeV   2.022E-02  3.966E-06    1.44 m     54.94 mm    10.58 mm  
   6.00 GeV   1.974E-02  3.657E-06    1.63 m     61.34 mm    11.81 mm  
   6.50 GeV   1.935E-02  3.394E-06    1.83 m     67.39 mm    13.04 mm  
   7.00 GeV   1.903E-02  3.167E-06    2.03 m     73.13 mm    14.26 mm  
   8.00 GeV   1.854E-02  2.796E-06    2.44 m     93.33 mm    16.67 mm  
   9.00 GeV   1.820E-02  2.505E-06    2.85 m    110.57 mm    19.04 mm  
  10.00 GeV   1.795E-02  2.270E-06    3.28 m    125.93 mm    21.35 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.3000E+01                 eV / Angstrom 
  1.3000E+02                keV / micron   
  1.3000E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.2309E+01                 eV / (1E15 atoms/cm2)
  5.4065E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
