 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Water_Liquid

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   3.00 GeV   2.071E-03  1.401E-07   12.79 m    436.09 mm   185.18 mm  
   3.25 GeV   2.079E-03  1.299E-07   14.00 m    468.52 mm   197.54 mm  
   3.50 GeV   2.088E-03  1.212E-07   15.20 m    498.63 mm   209.40 mm  
   3.75 GeV   2.097E-03  1.136E-07   16.39 m    526.78 mm   220.78 mm  
   4.00 GeV   2.107E-03  1.069E-07   17.58 m    553.28 mm   231.74 mm  
   4.50 GeV   2.127E-03  9.575E-08   19.94 m    646.73 mm   252.49 mm  
   5.00 GeV   2.148E-03  8.673E-08   22.28 m    726.86 mm   271.88 mm  
   5.50 GeV   2.167E-03  7.930E-08   24.59 m    797.72 mm   290.09 mm  
   6.00 GeV   2.187E-03  7.307E-08   26.89 m    861.67 mm   307.27 mm  
   6.50 GeV   2.206E-03  6.778E-08   29.17 m    920.19 mm   323.54 mm  
   7.00 GeV   2.224E-03  6.321E-08   31.42 m    974.33 mm   339.00 mm  
   8.00 GeV   2.258E-03  5.575E-08   35.88 m      1.16 m    367.84 mm  
   9.00 GeV   2.290E-03  4.990E-08   40.28 m      1.32 m    394.34 mm  
  10.00 GeV   2.319E-03  4.519E-08   44.62 m      1.45 m    418.88 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  9.9997E+00                 eV / Angstrom 
  9.9997E+01                keV / micron   
  9.9997E+01                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  9.9706E+00                 eV / (1E15 atoms/cm2)
  4.4209E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
