 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Januar 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in  H- C- O

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.3000E+00 g/cm3 = 1.0561E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = -5.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 350.00 keV   1.925E+00  6.112E-03    2.10 um     1447 A      1948 A   
 375.00 keV   1.959E+00  5.774E-03    2.20 um     1463 A      1976 A   
 400.00 keV   1.989E+00  5.475E-03    2.29 um     1479 A      2004 A   
 450.00 keV   2.035E+00  4.967E-03    2.48 um     1519 A      2054 A   
 500.00 keV   2.066E+00  4.550E-03    2.67 um     1556 A      2099 A   
 550.00 keV   2.085E+00  4.203E-03    2.85 um     1591 A      2142 A   
 600.00 keV   2.094E+00  3.908E-03    3.04 um     1624 A      2181 A   
 650.00 keV   2.095E+00  3.654E-03    3.22 um     1656 A      2219 A   
 700.00 keV   2.089E+00  3.434E-03    3.40 um     1686 A      2255 A   
 800.00 keV   2.063E+00  3.068E-03    3.77 um     1785 A      2324 A   
 900.00 keV   2.025E+00  2.777E-03    4.15 um     1880 A      2390 A   
   1.00 MeV   1.979E+00  2.539E-03    4.53 um     1974 A      2454 A   
   1.10 MeV   1.931E+00  2.342E-03    4.92 um     2067 A      2517 A   
   1.20 MeV   1.881E+00  2.174E-03    5.32 um     2160 A      2579 A   
   1.30 MeV   1.832E+00  2.030E-03    5.74 um     2253 A      2641 A   
   1.40 MeV   1.784E+00  1.905E-03    6.16 um     2348 A      2704 A   
   1.50 MeV   1.737E+00  1.796E-03    6.60 um     2443 A      2767 A   
   1.60 MeV   1.692E+00  1.699E-03    7.05 um     2539 A      2831 A   
   1.70 MeV   1.649E+00  1.612E-03    7.51 um     2637 A      2896 A   
   1.80 MeV   1.608E+00  1.535E-03    7.98 um     2736 A      2962 A   
   2.00 MeV   1.531E+00  1.401E-03    8.96 um     3095 A      3097 A   
   2.25 MeV   1.443E+00  1.266E-03   10.25 um     3629 A      3274 A   
   2.50 MeV   1.364E+00  1.155E-03   11.62 um     4148 A      3461 A   
   2.75 MeV   1.292E+00  1.063E-03   13.06 um     4659 A      3658 A   
   3.00 MeV   1.227E+00  9.856E-04   14.59 um     5168 A      3866 A   
   3.25 MeV   1.169E+00  9.191E-04   16.19 um     5679 A      4085 A   
   3.50 MeV   1.115E+00  8.615E-04   17.88 um     6194 A      4315 A   
   3.75 MeV   1.067E+00  8.110E-04   19.64 um     6713 A      4557 A   
   4.00 MeV   1.022E+00  7.665E-04   21.48 um     7237 A      4810 A   
   4.50 MeV   9.439E-01  6.912E-04   25.39 um     9179 A      5351 A   
   5.00 MeV   8.774E-01  6.301E-04   29.61 um     1.10 um     5939 A   
   5.50 MeV   8.202E-01  5.794E-04   34.14 um     1.28 um     6571 A   
   6.00 MeV   7.705E-01  5.366E-04   38.98 um     1.46 um     7248 A   
   6.50 MeV   7.268E-01  4.999E-04   44.11 um     1.64 um     7969 A   
   7.00 MeV   6.881E-01  4.682E-04   49.54 um     1.82 um     8733 A   
   8.00 MeV   6.227E-01  4.160E-04   61.29 um     2.48 um     1.04 um  
   9.00 MeV   5.785E-01  3.747E-04   74.10 um     3.08 um     1.22 um  
  10.00 MeV   5.348E-01  3.412E-04   87.92 um     3.67 um     1.41 um  
  11.00 MeV   4.967E-01  3.135E-04  102.83 um     4.25 um     1.62 um  
  12.00 MeV   4.641E-01  2.901E-04  118.85 um     4.83 um     1.84 um  
  13.00 MeV   4.360E-01  2.701E-04  135.93 um     5.42 um     2.08 um  
  14.00 MeV   4.115E-01  2.528E-04  154.08 um     6.02 um     2.33 um  
  15.00 MeV   3.898E-01  2.377E-04  173.28 um     6.62 um     2.60 um  
  16.00 MeV   3.705E-01  2.244E-04  193.51 um     7.24 um     2.87 um  
  17.00 MeV   3.532E-01  2.125E-04  214.76 um     7.86 um     3.17 um  
  18.00 MeV   3.376E-01  2.019E-04  237.02 um     8.50 um     3.47 um  
  20.00 MeV   3.105E-01  1.837E-04  284.51 um    10.88 um     4.12 um  
  22.50 MeV   2.827E-01  1.653E-04  349.38 um    14.29 um     5.00 um  
  25.00 MeV   2.599E-01  1.503E-04  420.29 um    17.52 um     5.96 um  
  27.50 MeV   2.408E-01  1.380E-04  497.12 um    20.69 um     6.99 um  
  30.00 MeV   2.245E-01  1.276E-04  579.78 um    23.84 um     8.10 um  
  32.50 MeV   2.105E-01  1.187E-04  668.20 um    27.00 um     9.28 um  
  35.00 MeV   1.983E-01  1.110E-04  762.29 um    30.18 um    10.53 um  
  37.50 MeV   1.875E-01  1.043E-04  861.98 um    33.41 um    11.85 um  
  40.00 MeV   1.779E-01  9.838E-05  967.21 um    36.67 um    13.24 um  
  45.00 MeV   1.617E-01  8.844E-05    1.19 mm    48.89 um    16.23 um  
  50.00 MeV   1.484E-01  8.039E-05    1.44 mm    60.38 um    19.49 um  
  55.00 MeV   1.373E-01  7.373E-05    1.71 mm    71.60 um    23.01 um  
  60.00 MeV   1.279E-01  6.813E-05    2.00 mm    82.75 um    26.78 um  
  65.00 MeV   1.198E-01  6.336E-05    2.31 mm    93.93 um    30.81 um  
  70.00 MeV   1.127E-01  5.923E-05    2.64 mm   105.20 um    35.08 um  
  80.00 MeV   1.011E-01  5.245E-05    3.36 mm   146.94 um    44.36 um  
