 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in  H- O

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 700.00 keV   3.977E+00  7.413E-02    2.70 um     2353 A      2978 A   
 800.00 keV   4.307E+00  6.678E-02    2.93 um     2420 A      3090 A   
 900.00 keV   4.623E+00  6.086E-02    3.15 um     2476 A      3184 A   
   1.00 MeV   4.927E+00  5.598E-02    3.36 um     2523 A      3266 A   
   1.10 MeV   5.219E+00  5.189E-02    3.55 um     2563 A      3337 A   
   1.20 MeV   5.499E+00  4.840E-02    3.73 um     2598 A      3399 A   
   1.30 MeV   5.766E+00  4.538E-02    3.91 um     2628 A      3455 A   
   1.40 MeV   6.019E+00  4.275E-02    4.08 um     2656 A      3505 A   
   1.50 MeV   6.258E+00  4.042E-02    4.24 um     2680 A      3550 A   
   1.60 MeV   6.483E+00  3.836E-02    4.39 um     2702 A      3592 A   
   1.70 MeV   6.694E+00  3.651E-02    4.54 um     2722 A      3630 A   
   1.80 MeV   6.892E+00  3.485E-02    4.69 um     2741 A      3665 A   
   2.00 MeV   7.245E+00  3.197E-02    4.97 um     2789 A      3728 A   
   2.25 MeV   7.615E+00  2.902E-02    5.30 um     2848 A      3796 A   
   2.50 MeV   7.914E+00  2.660E-02    5.62 um     2901 A      3855 A   
   2.75 MeV   8.153E+00  2.458E-02    5.93 um     2948 A      3908 A   
   3.00 MeV   8.342E+00  2.286E-02    6.23 um     2992 A      3956 A   
   3.25 MeV   8.489E+00  2.139E-02    6.53 um     3033 A      3999 A   
   3.50 MeV   8.603E+00  2.010E-02    6.82 um     3072 A      4040 A   
   3.75 MeV   8.690E+00  1.897E-02    7.11 um     3109 A      4077 A   
   4.00 MeV   8.755E+00  1.797E-02    7.39 um     3145 A      4113 A   
   4.50 MeV   8.831E+00  1.627E-02    7.96 um     3262 A      4179 A   
   5.00 MeV   8.856E+00  1.489E-02    8.52 um     3373 A      4240 A   
   5.50 MeV   8.841E+00  1.373E-02    9.09 um     3480 A      4296 A   
   6.00 MeV   8.797E+00  1.275E-02    9.65 um     3584 A      4350 A   
   6.50 MeV   8.729E+00  1.191E-02   10.22 um     3686 A      4401 A   
   7.00 MeV   8.642E+00  1.118E-02   10.80 um     3786 A      4451 A   
   8.00 MeV   8.431E+00  9.977E-03   11.97 um     4153 A      4546 A   
   9.00 MeV   8.189E+00  9.018E-03   13.17 um     4506 A      4638 A   
  10.00 MeV   7.935E+00  8.236E-03   14.41 um     4853 A      4730 A   
  11.00 MeV   7.678E+00  7.586E-03   15.69 um     5198 A      4821 A   
  12.00 MeV   7.427E+00  7.037E-03   17.01 um     5542 A      4912 A   
  13.00 MeV   7.185E+00  6.566E-03   18.38 um     5887 A      5005 A   
  14.00 MeV   6.953E+00  6.157E-03   19.79 um     6234 A      5100 A   
  15.00 MeV   6.732E+00  5.799E-03   21.25 um     6584 A      5197 A   
  16.00 MeV   6.523E+00  5.483E-03   22.76 um     6938 A      5296 A   
  17.00 MeV   6.326E+00  5.201E-03   24.31 um     7296 A      5398 A   
  18.00 MeV   6.139E+00  4.948E-03   25.92 um     7658 A      5503 A   
  20.00 MeV   5.796E+00  4.513E-03   29.27 um     9037 A      5723 A   
  22.50 MeV   5.419E+00  4.071E-03   33.72 um     1.11 um     6016 A   
  25.00 MeV   5.136E+00  3.712E-03   38.46 um     1.30 um     6332 A   
  27.50 MeV   4.921E+00  3.414E-03   43.43 um     1.48 um     6667 A   
  30.00 MeV   4.674E+00  3.163E-03   48.64 um     1.66 um     7022 A   
  32.50 MeV   4.431E+00  2.947E-03   54.13 um     1.83 um     7399 A   
  35.00 MeV   4.216E+00  2.761E-03   59.91 um     2.01 um     7799 A   
  37.50 MeV   4.025E+00  2.598E-03   65.98 um     2.19 um     8223 A   
  40.00 MeV   3.853E+00  2.454E-03   72.32 um     2.37 um     8670 A   
  45.00 MeV   3.558E+00  2.211E-03   85.82 um     3.05 um     9631 A   
  50.00 MeV   3.311E+00  2.014E-03  100.39 um     3.69 um     1.07 um  
  55.00 MeV   3.102E+00  1.850E-03  115.98 um     4.31 um     1.18 um  
