 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Nitrogen in  H- O

 Ion = Nitrogen [7] , Mass = 14.003 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  70.00 keV   1.267E+00  5.318E-01    3520 A       818 A       706 A   
  80.00 keV   1.321E+00  4.925E-01    4025 A       895 A       787 A   
  90.00 keV   1.373E+00  4.594E-01    4528 A       966 A       866 A   
 100.00 keV   1.423E+00  4.311E-01    5029 A      1034 A       942 A   
 110.00 keV   1.472E+00  4.066E-01    5525 A      1097 A      1015 A   
 120.00 keV   1.522E+00  3.850E-01    6016 A      1156 A      1086 A   
 130.00 keV   1.572E+00  3.660E-01    6502 A      1212 A      1154 A   
 140.00 keV   1.622E+00  3.489E-01    6981 A      1264 A      1219 A   
 150.00 keV   1.674E+00  3.336E-01    7454 A      1313 A      1282 A   
 160.00 keV   1.725E+00  3.198E-01    7919 A      1360 A      1343 A   
 170.00 keV   1.777E+00  3.072E-01    8376 A      1404 A      1402 A   
 180.00 keV   1.829E+00  2.957E-01    8826 A      1445 A      1458 A   
 200.00 keV   1.934E+00  2.754E-01    9702 A      1523 A      1565 A   
 225.00 keV   2.065E+00  2.540E-01    1.08 um     1609 A      1687 A   
 250.00 keV   2.196E+00  2.361E-01    1.18 um     1685 A      1798 A   
 275.00 keV   2.326E+00  2.208E-01    1.27 um     1752 A      1900 A   
 300.00 keV   2.455E+00  2.076E-01    1.37 um     1811 A      1993 A   
 325.00 keV   2.581E+00  1.960E-01    1.45 um     1864 A      2078 A   
 350.00 keV   2.704E+00  1.858E-01    1.54 um     1912 A      2157 A   
 375.00 keV   2.826E+00  1.768E-01    1.62 um     1954 A      2230 A   
 400.00 keV   2.945E+00  1.686E-01    1.70 um     1993 A      2297 A   
 450.00 keV   3.176E+00  1.546E-01    1.85 um     2066 A      2419 A   
 500.00 keV   3.397E+00  1.429E-01    1.99 um     2127 A      2525 A   
 550.00 keV   3.610E+00  1.331E-01    2.13 um     2180 A      2620 A   
 600.00 keV   3.815E+00  1.246E-01    2.26 um     2226 A      2704 A   
 650.00 keV   4.013E+00  1.173E-01    2.38 um     2266 A      2779 A   
 700.00 keV   4.204E+00  1.108E-01    2.50 um     2302 A      2847 A   
 800.00 keV   4.571E+00  1.000E-01    2.71 um     2372 A      2966 A   
 900.00 keV   4.920E+00  9.127E-02    2.92 um     2430 A      3067 A   
   1.00 MeV   5.252E+00  8.406E-02    3.11 um     2478 A      3154 A   
   1.10 MeV   5.571E+00  7.800E-02    3.29 um     2519 A      3229 A   
   1.20 MeV   5.876E+00  7.282E-02    3.46 um     2555 A      3296 A   
   1.30 MeV   6.168E+00  6.834E-02    3.62 um     2586 A      3355 A   
   1.40 MeV   6.448E+00  6.442E-02    3.78 um     2614 A      3408 A   
   1.50 MeV   6.715E+00  6.097E-02    3.93 um     2639 A      3456 A   
   1.60 MeV   6.971E+00  5.789E-02    4.07 um     2661 A      3500 A   
   1.70 MeV   7.214E+00  5.514E-02    4.21 um     2682 A      3540 A   
   1.80 MeV   7.445E+00  5.265E-02    4.35 um     2701 A      3577 A   
   2.00 MeV   7.871E+00  4.835E-02    4.60 um     2746 A      3643 A   
   2.25 MeV   8.338E+00  4.393E-02    4.91 um     2801 A      3713 A   
   2.50 MeV   8.738E+00  4.030E-02    5.20 um     2850 A      3775 A   
   2.75 MeV   9.078E+00  3.727E-02    5.48 um     2892 A      3829 A   
   3.00 MeV   9.364E+00  3.469E-02    5.75 um     2931 A      3877 A   
   3.25 MeV   9.605E+00  3.247E-02    6.01 um     2967 A      3921 A   
   3.50 MeV   9.807E+00  3.054E-02    6.27 um     3000 A      3961 A   
   3.75 MeV   9.977E+00  2.884E-02    6.52 um     3031 A      3998 A   
   4.00 MeV   1.012E+01  2.733E-02    6.77 um     3061 A      4032 A   
   4.50 MeV   1.033E+01  2.477E-02    7.25 um     3154 A      4095 A   
   5.00 MeV   1.048E+01  2.268E-02    7.73 um     3240 A      4152 A   
   5.50 MeV   1.058E+01  2.093E-02    8.20 um     3322 A      4205 A   
   6.00 MeV   1.064E+01  1.945E-02    8.67 um     3400 A      4253 A   
   6.50 MeV   1.066E+01  1.818E-02    9.14 um     3475 A      4299 A   
   7.00 MeV   1.066E+01  1.707E-02    9.61 um     3548 A      4342 A   
   8.00 MeV   1.059E+01  1.524E-02   10.55 um     3808 A      4424 A   
   9.00 MeV   1.045E+01  1.379E-02   11.50 um     4054 A      4500 A   
  10.00 MeV   1.027E+01  1.260E-02   12.46 um     4293 A      4574 A   
  11.00 MeV   1.006E+01  1.161E-02   13.44 um     4527 A      4645 A   
  12.00 MeV   9.838E+00  1.077E-02   14.45 um     4759 A      4715 A   
  13.00 MeV   9.608E+00  1.006E-02   15.48 um     4990 A      4784 A   
  14.00 MeV   9.377E+00  9.434E-03   16.53 um     5220 A      4853 A   
  15.00 MeV   9.148E+00  8.889E-03   17.61 um     5452 A      4922 A   
  16.00 MeV   8.924E+00  8.406E-03   18.71 um     5685 A      4992 A   
  17.00 MeV   8.706E+00  7.976E-03   19.84 um     5920 A      5063 A   
  18.00 MeV   8.496E+00  7.591E-03   21.01 um     6157 A      5135 A   
  20.00 MeV   8.098E+00  6.927E-03   23.42 um     7062 A      5282 A   
  22.50 MeV   7.644E+00  6.252E-03   26.59 um     8397 A      5474 A   
  25.00 MeV   7.237E+00  5.703E-03   29.95 um     9675 A      5676 A   
  27.50 MeV   6.871E+00  5.247E-03   33.49 um     1.09 um     5891 A   
  30.00 MeV   6.636E+00  4.863E-03   37.19 um     1.21 um     6116 A   
  32.50 MeV   6.409E+00  4.533E-03   41.02 um     1.33 um     6351 A   
  35.00 MeV   6.143E+00  4.247E-03   45.01 um     1.45 um     6596 A   
