Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
700.0,77.3686,5000.0,197.93,32.16,14N,CR39,49.97608
800.0,69.5086,6360.0,276.66,40.69,14N,CR39,57.11552
900.0,63.2992,7870.0,349.59,50.08,14N,CR39,64.25496
1000.0,58.2688,9520.0,420.38,60.27,14N,CR39,71.3944
1100.0,54.0899,11300.0,490.43,71.24,14N,CR39,78.53384
1200.0,50.5791,13210.0,560.39,82.96,14N,CR39,85.67328
1300.0,47.5661,15250.0,630.6,95.39,14N,CR39,92.81273
1400.0,44.9723,17410.0,701.22,108.52,14N,CR39,99.95217
1500.0,42.706,19690.0,772.34,122.31,14N,CR39,107.09161
1600.0,40.7148,22090.0,843.98,136.74,14N,CR39,114.23105
1700.0,38.9332,24600.0,916.17,151.78,14N,CR39,121.37049
1800.0,37.3481,27220.0,988.87,167.43,14N,CR39,128.50993
2000.0,34.6364,32780.0,1260.0,200.43,14N,CR39,142.78881
2250.0,31.8985,40300.0,1650.0,244.7,14N,CR39,160.63741
2500.0,29.6977,48430.0,2010.0,292.03,14N,CR39,178.48601
2750.0,27.8768,57120.0,2360.0,342.18,14N,CR39,196.33461
3000.0,26.3441,66340.0,2700.0,394.92,14N,CR39,214.18321
3250.0,25.0472,76070.0,3030.0,450.05,14N,CR39,232.03181
3500.0,23.9337,86280.0,3360.0,507.36,14N,CR39,249.88041
3750.0,22.9643,96940.0,3680.0,566.69,14N,CR39,267.72902
4000.0,22.1259,108030.0,4010.0,627.87,14N,CR39,285.57762
4500.0,20.7111,131400.0,5200.0,755.26,14N,CR39,321.27482
5000.0,19.5714,156230.0,6270.0,888.44,14N,CR39,356.97202
5500.0,18.6544,182400.0,7290.0,1030.0,14N,CR39,392.66922
6000.0,17.8815,209770.0,8260.0,1170.0,14N,CR39,428.36642
6500.0,17.2396,238240.0,9190.0,1310.0,14N,CR39,464.06363
7000.0,16.6894,267710.0,10090.0,1460.0,14N,CR39,499.76083
8000.0,15.8117,329260.0,13330.0,1770.0,14N,CR39,571.15523
9000.0,15.1436,393880.0,16170.0,2080.0,14N,CR39,642.54964
10000.0,14.6196,461080.0,18760.0,2390.0,14N,CR39,713.94404
1e-05,1.611,0.0006,0.0003,0.0003,14N,water,0.0
1e-05,1.69,0.0006,0.0004,0.0003,14N,water,0.0
1e-05,1.765,0.0006,0.0004,0.0003,14N,water,0.0
1e-05,1.837,0.0006,0.0004,0.0003,14N,water,0.0
1e-05,1.906,0.0007,0.0004,0.0003,14N,water,0.0
1e-05,1.973,0.0007,0.0004,0.0003,14N,water,0.0
2e-05,2.038,0.0007,0.0004,0.0003,14N,water,0.0
2e-05,2.101,0.0007,0.0004,0.0003,14N,water,0.0
2e-05,2.162,0.0007,0.0004,0.0003,14N,water,0.0
2e-05,2.278,0.0008,0.0005,0.0003,14N,water,0.0
2e-05,2.417,0.0008,0.0005,0.0004,14N,water,0.0
2e-05,2.547,0.0008,0.0005,0.0004,14N,water,0.0
3e-05,2.672,0.0009,0.0005,0.0004,14N,water,0.0
3e-05,2.791,0.0009,0.0006,0.0004,14N,water,0.0
3e-05,2.904,0.001,0.0006,0.0004,14N,water,0.0
3e-05,3.014,0.001,0.0006,0.0004,14N,water,0.0
4e-05,3.12,0.001,0.0006,0.0004,14N,water,0.0
4e-05,3.222,0.0011,0.0006,0.0005,14N,water,0.0
4e-05,3.418,0.0011,0.0007,0.0005,14N,water,0.0
5e-05,3.603,0.0012,0.0007,0.0005,14N,water,0.0
5e-05,3.778,0.0012,0.0007,0.0005,14N,water,0.0
6e-05,3.946,0.0013,0.0008,0.0006,14N,water,0.0
6e-05,4.108,0.0013,0.0008,0.0006,14N,water,0.0
7e-05,4.263,0.0014,0.0008,0.0006,14N,water,0.0
8e-05,4.557,0.0015,0.0009,0.0006,14N,water,1e-05
9e-05,4.833,0.0016,0.0009,0.0007,14N,water,1e-05
0.0001,5.095,0.0017,0.001,0.0007,14N,water,1e-05
0.00011,5.343,0.0018,0.001,0.0007,14N,water,1e-05
0.00012,5.581,0.0019,0.0011,0.0008,14N,water,1e-05
0.00013,5.809,0.002,0.0011,0.0008,14N,water,1e-05
