Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
0.7,40.4397,11.3,0.4505,0.4426,1H,CR39,0.69451
0.8,37.1123,13.87,0.5921,0.5246,1H,CR39,0.79373
0.9,34.4268,16.66,0.7246,0.6129,1H,CR39,0.89295
1.0,32.1998,19.66,0.8529,0.7069,1H,CR39,0.99216
1.1,30.7195,22.83,0.9777,0.8057,1H,CR39,1.09138
1.2,29.2916,26.15,1.1,0.9084,1H,CR39,1.19059
1.3,27.7589,29.65,1.22,1.02,1H,CR39,1.28981
1.4,26.3965,33.34,1.34,1.13,1H,CR39,1.38903
1.5,25.1651,37.21,1.47,1.24,1H,CR39,1.48824
1.6,24.0516,41.26,1.59,1.36,1H,CR39,1.58746
1.7,23.0429,45.5,1.72,1.49,1H,CR39,1.68668
1.8,22.1128,49.92,1.85,1.62,1H,CR39,1.78589
2.0,20.4753,59.3,2.31,1.9,1H,CR39,1.98432
2.25,18.7592,72.03,2.97,2.27,1H,CR39,2.23236
2.5,17.3313,85.86,3.61,2.66,1H,CR39,2.4804
2.75,16.113,100.79,4.23,3.09,1H,CR39,2.72845
3.0,15.0781,116.79,4.84,3.55,1H,CR39,2.97649
3.25,14.1873,133.85,5.47,4.03,1H,CR39,3.22453
3.5,13.3882,151.96,6.09,4.54,1H,CR39,3.47257
3.75,12.69521,171.09,6.73,5.07,1H,CR39,3.72061
4.0,12.07296,191.25,7.37,5.64,1H,CR39,3.96865
4.5,11.01186,234.53,9.7,6.84,1H,CR39,4.46473
5.0,10.13678,281.78,11.91,8.14,1H,CR39,4.96081
5.5,9.40187,332.9,14.07,9.55,1H,CR39,5.45689
6.0,8.77569,387.85,16.21,11.05,1H,CR39,5.95297
6.5,8.23466,446.56,18.37,12.64,1H,CR39,6.44905
7.0,7.76175,508.99,20.55,14.34,1H,CR39,6.94513
8.0,6.97444,644.68,28.42,18.0,1H,CR39,7.9373
9.0,6.34433,794.77,35.79,22.02,1H,CR39,8.92946
10.0,5.82688,958.96,43.02,26.4,1H,CR39,9.92162
11.0,5.39458,1140.0,50.23,31.13,1H,CR39,10.91378
12.0,5.02778,1330.0,57.49,36.2,1H,CR39,11.90594
13.0,4.71076,1530.0,64.85,41.6,1H,CR39,12.8981
14.0,4.43566,1750.0,72.32,47.33,1H,CR39,13.89027
15.0,4.19331,1980.0,79.91,53.39,1H,CR39,14.88243
16.0,3.97847,2230.0,87.63,59.76,1H,CR39,15.87459
17.0,3.78721,2490.0,95.49,66.45,1H,CR39,16.86675
18.0,3.61429,2760.0,103.48,73.45,1H,CR39,17.85891
20.0,3.31692,3330.0,132.97,88.38,1H,CR39,19.84324
22.5,3.013,4120.0,175.15,108.72,1H,CR39,22.32364
25.0,2.76541,4990.0,215.23,130.89,1H,CR39,24.80405
27.5,2.55843,5930.0,254.59,154.84,1H,CR39,27.28445
30.0,2.3842,6940.0,293.85,180.52,1H,CR39,29.76486
32.5,2.23355,8020.0,333.31,207.9,1H,CR39,32.24526
35.0,2.10386,9170.0,373.15,236.93,1H,CR39,34.72567
37.5,1.98989,10390.0,413.46,267.6,1H,CR39,37.20607
40.0,1.88902,11680.0,454.31,299.86,1H,CR39,39.68648
45.0,1.71872,14450.0,604.69,369.05,1H,CR39,44.64729
50.0,1.57986,17480.0,746.12,444.28,1H,CR39,49.6081
55.0,1.46458,20760.0,884.06,525.33,1H,CR39,54.56891
60.0,1.36764,24290.0,1020.0,612.02,1H,CR39,59.52972
65.0,1.28419,28060.0,1160.0,704.15,1H,CR39,64.49052
70.0,1.21214,32060.0,1300.0,801.56,1H,CR39,69.45133
80.0,1.09346,40740.0,1800.0,1010.0,1H,CR39,79.37295
90.0,0.99966,50290.0,2260.0,1240.0,1H,CR39,89.29457
100.0,0.92355,60690.0,2710.0,1490.0,1H,CR39,99.21619
110.0,0.86067,71890.0,3150.0,1750.0,1H,CR39,109.13781
120.0,0.80762,83870.0,3600.0,2030.0,1H,CR39,119.05943
130.0,0.76242,96600.0,4040.0,2330.0,1H,CR39,128.98105
140.0,0.72338,110050.0,4480.0,2640.0,1H,CR39,138.90267
150.0,0.68932,124200.0,4930.0,2970.0,1H,CR39,148.82429
160.0,0.65919,139010.0,5380.0,3310.0,1H,CR39,158.74591
170.0,0.6326,154480.0,5830.0,3660.0,1H,CR39,168.66753
180.0,0.60889,170570.0,6280.0,4020.0,1H,CR39,178.58915
200.0,0.56828,204540.0,7950.0,4780.0,1H,CR39,198.43238
225.0,0.52727,250170.0,10290.0,5790.0,1H,CR39,223.23643
250.0,0.49426,299100.0,12460.0,6860.0,1H,CR39,248.04048
275.0,0.46728,351070.0,14520.0,7980.0,1H,CR39,272.84453
300.0,0.44461,405860.0,16520.0,9140.0,1H,CR39,297.64858
325.0,0.42549,463280.0,18470.0,10350.0,1H,CR39,322.45262
350.0,0.40911,523140.0,20380.0,11590.0,1H,CR39,347.25667
375.0,0.39483,585290.0,22260.0,12860.0,1H,CR39,372.06072
400.0,0.38252,649550.0,24120.0,14160.0,1H,CR39,396.86477
450.0,0.36195,783840.0,30820.0,16830.0,1H,CR39,446.47286
500.0,0.34558,925110.0,36850.0,19570.0,1H,CR39,496.08096
550.0,0.33235,1070000.0,42470.0,22380.0,1H,CR39,545.68906
600.0,0.32147,1230000.0,47780.0,25220.0,1H,CR39,595.29715
650.0,0.31244,1380000.0,52850.0,28100.0,1H,CR39,644.90525
700.0,0.30484,1540000.0,57730.0,31000.0,1H,CR39,694.51334
800.0,0.29278,1880000.0,74860.0,36820.0,1H,CR39,793.72954
900.0,0.28388,2230000.0,89690.0,42650.0,1H,CR39,892.94573
1000.0,0.27706,2580000.0,103090.0,48440.0,1H,CR39,992.16192
1100.0,0.27182,2950000.0,115450.0,54170.0,1H,CR39,1091.37811
1200.0,0.26763,3320000.0,126990.0,59820.0,1H,CR39,1190.5943
