Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
0.2,286.235,0.7793,0.0953,0.1077,11B,CR39,0.0185
0.225,299.597,0.8584,0.0996,0.1141,11B,CR39,0.02081
0.25,313.221,0.9346,0.1033,0.12,11B,CR39,0.02312
0.275,326.714,1.01,0.1066,0.1253,11B,CR39,0.02544
0.3,340.338,1.08,0.1096,0.1302,11B,CR39,0.02775
0.325,353.831,1.15,0.1123,0.1348,11B,CR39,0.03006
0.35,367.062,1.21,0.1147,0.139,11B,CR39,0.03237
0.375,380.031,1.28,0.117,0.1429,11B,CR39,0.03469
0.4,392.869,1.34,0.119,0.1465,11B,CR39,0.037
0.45,417.497,1.46,0.1231,0.1531,11B,CR39,0.04162
0.5,441.077,1.57,0.1266,0.1589,11B,CR39,0.04625
0.55,463.609,1.68,0.1297,0.1641,11B,CR39,0.05087
0.6,484.962,1.78,0.1324,0.1688,11B,CR39,0.0555
0.65,505.398,1.88,0.1348,0.173,11B,CR39,0.06012
0.7,524.786,1.98,0.137,0.1769,11B,CR39,0.06475
0.8,560.942,2.16,0.1419,0.1837,11B,CR39,0.074
0.9,593.954,2.33,0.146,0.1896,11B,CR39,0.08325
1.0,624.084,2.49,0.1496,0.1948,11B,CR39,0.0925
1.1,651.463,2.64,0.1527,0.1994,11B,CR39,0.10175
1.2,676.484,2.79,0.1555,0.2035,11B,CR39,0.111
1.3,699.278,2.94,0.158,0.2072,11B,CR39,0.12025
1.4,719.976,3.08,0.1604,0.2106,11B,CR39,0.1295
1.5,738.709,3.21,0.1625,0.2137,11B,CR39,0.13875
1.6,755.608,3.35,0.1645,0.2167,11B,CR39,0.148
1.7,770.804,3.48,0.1663,0.2194,11B,CR39,0.15725
1.8,784.428,3.6,0.1681,0.222,11B,CR39,0.1665
2.0,807.484,3.85,0.1731,0.2267,11B,CR39,0.185
2.25,829.623,4.16,0.1799,0.2319,11B,CR39,0.20812
2.5,845.736,4.45,0.186,0.2367,11B,CR39,0.23125
2.75,857.133,4.75,0.1917,0.2411,11B,CR39,0.25437
3.0,864.731,5.04,0.1971,0.2451,11B,CR39,0.2775
3.25,869.578,5.32,0.2023,0.249,11B,CR39,0.30062
3.5,872.067,5.61,0.2072,0.2526,11B,CR39,0.32374
3.75,872.853,5.9,0.212,0.256,11B,CR39,0.34687
4.0,872.198,6.18,0.2166,0.2594,11B,CR39,0.36999
4.5,867.744,6.75,0.2328,0.2657,11B,CR39,0.41624
5.0,860.146,7.33,0.2481,0.2717,11B,CR39,0.46249
5.5,850.19,7.92,0.2627,0.2774,11B,CR39,0.50874
6.0,838.793,8.51,0.2769,0.283,11B,CR39,0.55499
6.5,826.217,9.11,0.2907,0.2885,11B,CR39,0.60124
7.0,812.855,9.71,0.3044,0.2938,11B,CR39,0.64749
8.0,784.821,10.97,0.3539,0.3045,11B,CR39,0.73999
9.0,756.394,12.26,0.4004,0.3151,11B,CR39,0.83249
10.0,728.36,13.61,0.445,0.3258,11B,CR39,0.92498
11.0,701.374,15.01,0.4886,0.3367,11B,CR39,1.01748
12.0,675.698,16.46,0.5316,0.3478,11B,CR39,1.10998
13.0,651.332,17.96,0.5743,0.3592,11B,CR39,1.20248
14.0,628.276,19.52,0.6169,0.3709,11B,CR39,1.29498
15.0,606.53,21.14,0.6597,0.383,11B,CR39,1.38748
16.0,586.094,22.82,0.7026,0.3955,11B,CR39,1.47997
17.0,566.837,24.55,0.7458,0.4083,11B,CR39,1.57247
18.0,548.759,26.34,0.7894,0.4216,11B,CR39,1.66497
20.0,515.616,30.1,0.9548,0.4495,11B,CR39,1.84997
22.5,481.163,35.12,1.19,0.4869,11B,CR39,2.08121
25.0,455.487,40.46,1.42,0.5268,11B,CR39,2.31246
27.5,428.108,46.12,1.63,0.5693,11B,CR39,2.54371
30.0,402.956,52.13,1.84,0.6146,11B,CR39,2.77495
32.5,380.686,58.51,2.06,0.6627,11B,CR39,3.0062
35.0,361.036,65.26,2.27,0.7136,11B,CR39,3.23744
37.5,343.351,72.35,2.49,0.7674,11B,CR39,3.46869
40.0,327.369,79.81,2.7,0.824,11B,CR39,3.69994
45.0,299.859,95.76,3.53,0.9455,11B,CR39,4.16243
50.0,276.803,113.12,4.31,1.08,11B,CR39,4.62492
55.0,257.284,131.85,5.07,1.22,11B,CR39,5.08741
60.0,240.516,151.94,5.82,1.37,11B,CR39,5.5499
65.0,225.844,173.4,6.57,1.54,11B,CR39,6.01239
70.0,213.006,196.19,7.33,1.71,11B,CR39,6.47489
80.0,191.391,245.71,10.16,2.09,11B,CR39,7.39987
90.0,173.968,300.49,12.8,2.51,11B,CR39,8.32485
100.0,159.689,360.48,15.38,2.96,11B,CR39,9.24984
110.0,147.506,425.63,17.95,3.46,11B,CR39,10.17482
120.0,137.157,495.91,20.54,3.99,11B,CR39,11.09981
130.0,128.2621,571.28,23.17,4.55,11B,CR39,12.02479
140.0,120.4414,651.72,25.84,5.16,11B,CR39,12.94977
150.0,113.5508,737.21,28.56,5.8,11B,CR39,13.87476
160.0,107.42,827.74,31.33,6.48,11B,CR39,14.79974
170.0,101.9311,923.28,34.16,7.19,11B,CR39,15.72472
180.0,96.9924,1020.0,37.04,7.95,11B,CR39,16.64971
200.0,88.4905,1240.0,48.08,9.56,11B,CR39,18.49968
225.0,79.8707,1540.0,63.97,11.78,11B,CR39,20.81214
250.0,72.9539,1860.0,79.08,14.22,11B,CR39,23.1246
275.0,67.3471,2220.0,93.91,16.87,11B,CR39,25.43705
300.0,62.7752,2610.0,108.63,19.73,11B,CR39,27.74951
325.0,59.0417,3020.0,123.3,22.77,11B,CR39,30.06197
350.0,55.6357,3450.0,138.01,26.0,11B,CR39,32.37443
375.0,52.5703,3910.0,152.85,29.41,11B,CR39,34.68689
400.0,49.8717,4400.0,167.87,33.0,11B,CR39,36.99935
450.0,45.2998,5450.0,224.63,40.73,11B,CR39,41.62427
500.0,41.5794,6610.0,277.83,49.15,11B,CR39,46.24919
550.0,38.5009,7860.0,329.62,58.24,11B,CR39,50.87411
600.0,35.9071,9200.0,380.92,67.99,11B,CR39,55.49903
650.0,33.6801,10640.0,432.18,78.37,11B,CR39,60.12395
700.0,31.7544,12170.0,483.67,89.36,11B,CR39,64.74887
800.0,28.5842,15490.0,674.87,113.15,11B,CR39,73.99871
900.0,26.0821,19150.0,851.56,139.21,11B,CR39,83.24854
1000.0,24.0647,23140.0,1020.0,167.44,11B,CR39,92.49838
1100.0,22.3879,27450.0,1190.0,197.72,11B,CR39,101.74822
1200.0,20.9731,32060.0,1360.0,229.96,11B,CR39,110.99806
1300.0,19.7679,36970.0,1530.0,264.08,11B,CR39,120.2479
1400.0,18.733,42170.0,1700.0,299.97,11B,CR39,129.49773
1500.0,17.8291,47640.0,1870.0,337.57,11B,CR39,138.74757
1600.0,17.03,53380.0,2040.0,376.79,11B,CR39,147.99741
1700.0,16.3226,59370.0,2210.0,417.56,11B,CR39,157.24725
1800.0,15.6938,65620.0,2380.0,459.83,11B,CR39,166.49709
2000.0,14.6065,78830.0,3030.0,548.6,11B,CR39,184.99676
2250.0,13.5192,96610.0,3940.0,666.87,11B,CR39,208.12136
2500.0,12.64674,115730.0,4780.0,792.46,11B,CR39,231.24595
2750.0,11.92755,136080.0,5590.0,924.63,11B,CR39,254.37055
3000.0,11.32495,157590.0,6360.0,1060.0,11B,CR39,277.49514
3250.0,10.81536,180180.0,7120.0,1210.0,11B,CR39,300.61974
3500.0,10.37782,203780.0,7870.0,1350.0,11B,CR39,323.74433
3750.0,9.99792,228320.0,8610.0,1510.0,11B,CR39,346.86893
4000.0,9.66649,253740.0,9330.0,1660.0,11B,CR39,369.99353
4500.0,9.11629,307010.0,12000.0,1990.0,11B,CR39,416.24272
5000.0,8.67875,363220.0,14400.0,2320.0,11B,CR39,462.49191
5500.0,8.32374,422040.0,16640.0,2660.0,11B,CR39,508.7411
6000.0,8.03161,483190.0,18760.0,3010.0,11B,CR39,554.99029
6500.0,7.78664,546420.0,20790.0,3370.0,11B,CR39,601.23948
7000.0,7.57966,611490.0,22750.0,3730.0,11B,CR39,647.48867
8000.0,7.25216,746380.0,29700.0,4450.0,11B,CR39,739.98705
9000.0,7.00588,886690.0,35730.0,5180.0,11B,CR39,832.48543
10000.0,6.81593,1030000.0,41190.0,5910.0,11B,CR39,924.98381
1e-05,1.417,0.0006,0.0004,0.0003,11B,water,0.0
1e-05,1.486,0.0006,0.0004,0.0003,11B,water,0.0
1e-05,1.552,0.0006,0.0004,0.0003,11B,water,0.0
1e-05,1.616,0.0006,0.0004,0.0003,11B,water,0.0
1e-05,1.677,0.0007,0.0004,0.0003,11B,water,0.0
1e-05,1.735,0.0007,0.0004,0.0003,11B,water,0.0
2e-05,1.792,0.0007,0.0005,0.0003,11B,water,0.0
2e-05,1.847,0.0007,0.0005,0.0003,11B,water,0.0
2e-05,1.901,0.0007,0.0005,0.0003,11B,water,0.0
2e-05,2.004,0.0008,0.0005,0.0004,11B,water,0.0
2e-05,2.125,0.0008,0.0005,0.0004,11B,water,0.0
2e-05,2.24,0.0009,0.0006,0.0004,11B,water,0.0
3e-05,2.35,0.0009,0.0006,0.0004,11B,water,0.0
3e-05,2.454,0.001,0.0006,0.0004,11B,water,0.0
3e-05,2.554,0.001,0.0006,0.0005,11B,water,0.0
3e-05,2.651,0.001,0.0007,0.0005,11B,water,0.0
4e-05,2.744,0.0011,0.0007,0.0005,11B,water,0.0
4e-05,2.834,0.0011,0.0007,0.0005,11B,water,0.0
4e-05,3.006,0.0012,0.0007,0.0005,11B,water,0.0
5e-05,3.168,0.0012,0.0008,0.0006,11B,water,0.0
5e-05,3.323,0.0013,0.0008,0.0006,11B,water,0.0
6e-05,3.471,0.0014,0.0009,0.0006,11B,water,1e-05
6e-05,3.613,0.0014,0.0009,0.0006,11B,water,1e-05
7e-05,3.749,0.0015,0.0009,0.0007,11B,water,1e-05
8e-05,4.008,0.0016,0.001,0.0007,11B,water,1e-05
9e-05,4.251,0.0017,0.001,0.0007,11B,water,1e-05
0.0001,4.481,0.0018,0.0011,0.0008,11B,water,1e-05
0.00011,4.7,0.0019,0.0012,0.0008,11B,water,1e-05
0.00012,4.909,0.002,0.0012,0.0009,11B,water,1e-05
0.00013,5.109,0.0021,0.0013,0.0009,11B,water,1e-05
0.00014,5.302,0.0022,0.0013,0.0009,11B,water,1e-05
0.00015,5.488,0.0023,0.0014,0.001,11B,water,1e-05
0.00016,5.668,0.0024,0.0014,0.001,11B,water,1e-05
0.00017,5.842,0.0025,0.0015,0.0011,11B,water,2e-05
0.00018,6.012,0.0026,0.0015,0.0011,11B,water,2e-05
0.0002,6.337,0.0028,0.0016,0.0012,11B,water,2e-05
0.00022,6.721,0.003,0.0017,0.0012,11B,water,2e-05
0.00025,7.085,0.0032,0.0018,0.0013,11B,water,2e-05
0.00027,7.431,0.0034,0.0019,0.0014,11B,water,2e-05
0.0003,7.761,0.0036,0.002,0.0015,11B,water,3e-05
0.00032,8.078,0.0038,0.0021,0.0015,11B,water,3e-05
0.00035,8.383,0.004,0.0022,0.0016,11B,water,3e-05
0.00037,8.677,0.0042,0.0023,0.0017,11B,water,3e-05
0.0004,8.962,0.0044,0.0024,0.0017,11B,water,4e-05
0.00045,9.505,0.0048,0.0025,0.0019,11B,water,4e-05
0.0005,10.02,0.0052,0.0027,0.002,11B,water,5e-05
0.00055,10.51,0.0055,0.0029,0.0021,11B,water,5e-05
0.0006,10.98,0.0059,0.003,0.0022,11B,water,6e-05
0.00065,11.42,0.0063,0.0032,0.0024,11B,water,6e-05
0.0007,11.86,0.0066,0.0034,0.0025,11B,water,6e-05
0.0008,12.67,0.0073,0.0037,0.0027,11B,water,7e-05
0.0009,13.44,0.008,0.004,0.0029,11B,water,8e-05
0.001,14.17,0.0087,0.0043,0.0031,11B,water,9e-05
0.0011,14.86,0.0094,0.0046,0.0033,11B,water,0.0001
0.0012,15.52,0.01,0.0049,0.0036,11B,water,0.00011
0.0013,16.16,0.0107,0.0051,0.0038,11B,water,0.00012
0.0014,16.77,0.0114,0.0054,0.004,11B,water,0.00013
0.0015,17.35,0.012,0.0057,0.0042,11B,water,0.00014
0.0016,17.92,0.0127,0.006,0.0044,11B,water,0.00015
0.0017,18.48,0.0134,0.0063,0.0046,11B,water,0.00016
0.0018,19.01,0.014,0.0065,0.0048,11B,water,0.00017
0.002,20.04,0.0153,0.0071,0.0051,11B,water,0.00018
0.00225,21.26,0.017,0.0077,0.0056,11B,water,0.00021
0.0025,22.41,0.0186,0.0084,0.0061,11B,water,0.00023
0.00275,23.5,0.0203,0.009,0.0065,11B,water,0.00025
0.003,24.54,0.0219,0.0097,0.007,11B,water,0.00028
0.00325,25.55,0.0236,0.0103,0.0074,11B,water,0.0003
