Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
16.0,170.562,61.56,2.14,0.8401,7Li,CR39,2.30514
17.0,163.226,67.55,2.31,0.8993,7Li,CR39,2.44921
18.0,156.021,73.81,2.48,0.9613,7Li,CR39,2.59329
20.0,143.707,87.16,3.13,1.09,7Li,CR39,2.88143
22.5,130.9607,105.38,4.07,1.28,7Li,CR39,3.24161
25.0,120.52,125.27,4.96,1.47,7Li,CR39,3.60179
27.5,111.7692,146.8,5.83,1.69,7Li,CR39,3.96197
30.0,104.3153,169.95,6.7,1.92,7Li,CR39,4.32214
32.5,97.8832,194.68,7.58,2.17,7Li,CR39,4.68232
35.0,92.2633,220.98,8.46,2.43,7Li,CR39,5.0425
37.5,87.3115,248.82,9.35,2.71,7Li,CR39,5.40268
40.0,82.923,278.19,10.25,3.0,7Li,CR39,5.76286
45.0,75.4429,341.39,13.64,3.63,7Li,CR39,6.48322
50.0,69.299,410.53,16.82,4.31,7Li,CR39,7.20357
55.0,64.1638,485.49,19.93,5.05,7Li,CR39,7.92393
60.0,59.8015,566.19,23.01,5.85,7Li,CR39,8.64429
65.0,56.0418,652.54,26.1,6.7,7Li,CR39,9.36464
70.0,52.7537,744.46,29.21,7.6,7Li,CR39,10.085
80.0,47.3172,944.56,40.77,9.55,7Li,CR39,11.52572
90.0,42.9811,1170.0,51.54,11.7,7Li,CR39,12.96643
100.0,39.431,1410.0,62.05,14.05,7Li,CR39,14.40715
110.0,36.4704,1670.0,72.52,16.6,7Li,CR39,15.84786
120.0,33.9683,1960.0,83.04,19.32,7Li,CR39,17.28858
130.0,31.8068,2260.0,93.66,22.23,7Li,CR39,18.72929
140.0,29.9335,2580.0,104.43,25.33,7Li,CR39,20.17
150.0,28.2829,2930.0,115.35,28.59,7Li,CR39,21.61072
160.0,26.8288,3290.0,126.43,32.04,7Li,CR39,23.05143
170.0,25.5319,3670.0,137.68,35.65,7Li,CR39,24.49215
180.0,24.366,4070.0,149.1,39.44,7Li,CR39,25.93286
200.0,22.3617,4930.0,192.52,47.51,7Li,CR39,28.81429
225.0,20.3181,6100.0,254.64,58.52,7Li,CR39,32.41608
250.0,18.6413,7390.0,313.32,70.51,7Li,CR39,36.01786
275.0,17.2658,8780.0,370.7,83.46,7Li,CR39,39.61965
300.0,16.0868,10280.0,427.7,97.34,7Li,CR39,43.22144
325.0,15.0912,11880.0,484.79,112.14,7Li,CR39,46.82322
350.0,14.2266,13590.0,542.23,127.81,7Li,CR39,50.42501
375.0,13.4668,15400.0,600.16,144.35,7Li,CR39,54.0268
400.0,12.78953,17300.0,658.66,161.74,7Li,CR39,57.62858
450.0,11.65638,21400.0,878.63,198.97,7Li,CR39,64.83216
500.0,10.73545,25870.0,1080.0,239.36,7Li,CR39,72.03573
550.0,9.97303,30700.0,1280.0,282.77,7Li,CR39,79.2393
600.0,9.32982,35880.0,1480.0,329.08,7Li,CR39,86.44288
650.0,8.78093,41400.0,1680.0,378.16,7Li,CR39,93.64645
700.0,8.3054,47260.0,1870.0,429.92,7Li,CR39,100.85002
