 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Oxygen in  H- O

 Ion = Oxygen [8] , Mass = 15.995 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 800.00 keV   4.305E+00  1.413E-01    2.72 um     2566 A      3139 A   
 900.00 keV   4.673E+00  1.291E-01    2.93 um     2636 A      3262 A   
   1.00 MeV   5.036E+00  1.191E-01    3.13 um     2693 A      3367 A   
   1.10 MeV   5.393E+00  1.106E-01    3.32 um     2742 A      3457 A   
   1.20 MeV   5.744E+00  1.033E-01    3.49 um     2783 A      3537 A   
   1.30 MeV   6.089E+00  9.706E-02    3.66 um     2819 A      3607 A   
   1.40 MeV   6.426E+00  9.157E-02    3.81 um     2850 A      3670 A   
   1.50 MeV   6.755E+00  8.671E-02    3.96 um     2878 A      3726 A   
   1.60 MeV   7.075E+00  8.239E-02    4.10 um     2902 A      3776 A   
   1.70 MeV   7.385E+00  7.851E-02    4.24 um     2924 A      3822 A   
   1.80 MeV   7.686E+00  7.501E-02    4.37 um     2944 A      3864 A   
   2.00 MeV   8.254E+00  6.895E-02    4.61 um     2988 A      3938 A   
   2.25 MeV   8.900E+00  6.271E-02    4.90 um     3040 A      4015 A   
   2.50 MeV   9.473E+00  5.758E-02    5.17 um     3084 A      4081 A   
   2.75 MeV   9.975E+00  5.329E-02    5.43 um     3121 A      4137 A   
   3.00 MeV   1.041E+01  4.964E-02    5.67 um     3154 A      4187 A   
   3.25 MeV   1.079E+01  4.649E-02    5.90 um     3184 A      4231 A   
   3.50 MeV   1.111E+01  4.375E-02    6.13 um     3211 A      4271 A   
   3.75 MeV   1.138E+01  4.133E-02    6.35 um     3237 A      4308 A   
   4.00 MeV   1.161E+01  3.918E-02    6.57 um     3260 A      4341 A   
   4.50 MeV   1.197E+01  3.554E-02    6.99 um     3330 A      4402 A   
   5.00 MeV   1.222E+01  3.256E-02    7.40 um     3395 A      4455 A   
   5.50 MeV   1.239E+01  3.007E-02    7.81 um     3455 A      4503 A   
   6.00 MeV   1.251E+01  2.796E-02    8.21 um     3512 A      4547 A   
   6.50 MeV   1.258E+01  2.614E-02    8.60 um     3567 A      4588 A   
   7.00 MeV   1.261E+01  2.456E-02    9.00 um     3621 A      4627 A   
   8.00 MeV   1.259E+01  2.194E-02    9.79 um     3807 A      4698 A   
   9.00 MeV   1.249E+01  1.986E-02   10.59 um     3985 A      4764 A   
  10.00 MeV   1.234E+01  1.816E-02   11.39 um     4159 A      4826 A   
  11.00 MeV   1.214E+01  1.674E-02   12.20 um     4329 A      4885 A   
  12.00 MeV   1.193E+01  1.555E-02   13.03 um     4498 A      4942 A   
  13.00 MeV   1.170E+01  1.452E-02   13.88 um     4666 A      4999 A   
  14.00 MeV   1.146E+01  1.362E-02   14.74 um     4835 A      5054 A   
  15.00 MeV   1.123E+01  1.284E-02   15.62 um     5005 A      5109 A   
