 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in  H- O

 Ion = Beryllium [4] , Mass = 9.012 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 100.00 MeV   7.100E-01  3.855E-04  787.81 um    34.22 um     7.10 um  
 110.00 MeV   6.523E-01  3.538E-04  934.73 um    40.10 um     8.36 um  
 120.00 MeV   6.029E-01  3.270E-04    1.09 mm    46.07 um     9.71 um  
 130.00 MeV   5.602E-01  3.042E-04    1.27 mm    52.17 um    11.18 um  
 140.00 MeV   5.231E-01  2.845E-04    1.45 mm    58.42 um    12.74 um  
 150.00 MeV   4.905E-01  2.672E-04    1.65 mm    64.84 um    14.42 um  
 160.00 MeV   4.619E-01  2.521E-04    1.86 mm    71.41 um    16.21 um  
 170.00 MeV   4.366E-01  2.386E-04    2.08 mm    78.14 um    18.10 um  
 180.00 MeV   4.142E-01  2.265E-04    2.32 mm    85.03 um    20.10 um  
 200.00 MeV   3.767E-01  2.059E-04    2.82 mm   111.38 um    24.42 um  
 225.00 MeV   3.406E-01  1.850E-04    3.52 mm   149.09 um    30.38 um  
 250.00 MeV   3.137E-01  1.681E-04    4.28 mm   184.47 um    36.92 um  
 275.00 MeV   2.930E-01  1.541E-04    5.11 mm   218.52 um    43.97 um  
 300.00 MeV   2.727E-01  1.423E-04    5.99 mm   252.10 um    51.51 um  
 325.00 MeV   2.554E-01  1.323E-04    6.94 mm   285.82 um    59.55 um  
 350.00 MeV   2.404E-01  1.237E-04    7.95 mm   319.83 um    68.09 um  
 375.00 MeV   2.272E-01  1.161E-04    9.02 mm   354.20 um    77.12 um  
 400.00 MeV   2.156E-01  1.095E-04   10.15 mm   388.98 um    86.62 um  
 450.00 MeV   1.960E-01  9.829E-05   12.58 mm   520.14 um   107.04 um  
 500.00 MeV   1.801E-01  8.925E-05   15.24 mm   642.94 um   129.27 um  
 550.00 MeV   1.669E-01  8.179E-05   18.13 mm   762.35 um   153.24 um  
 600.00 MeV   1.558E-01  7.552E-05   21.23 mm   880.50 um   178.90 um  
 650.00 MeV   1.463E-01  7.018E-05   24.54 mm   998.41 um   206.19 um  
 700.00 MeV   1.381E-01  6.556E-05   28.06 mm     1.12 mm   235.06 um  
 800.00 MeV   1.246E-01  5.800E-05   35.68 mm     1.55 mm   297.35 um  
 900.00 MeV   1.139E-01  5.205E-05   44.08 mm     1.96 mm   365.41 um  
   1.00 GeV   1.053E-01  4.724E-05   53.21 mm     2.35 mm   438.88 um  
   1.10 GeV   9.817E-02  4.327E-05   63.04 mm     2.73 mm   517.47 um  
   1.20 GeV   9.219E-02  3.994E-05   73.55 mm     3.11 mm   600.88 um  
   1.30 GeV   8.709E-02  3.710E-05   84.71 mm     3.49 mm   688.85 um  
