 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in  H- C- O

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = -3.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 600.00 MeV   2.097E-02  8.256E-06  124.73 mm     5.11 mm     1.49 mm  
 650.00 MeV   1.985E-02  7.667E-06  143.44 mm     5.76 mm     1.70 mm  
 700.00 MeV   1.888E-02  7.159E-06  163.15 mm     6.41 mm     1.92 mm  
 800.00 MeV   1.729E-02  6.327E-06  205.39 mm     8.78 mm     2.40 mm  
 900.00 MeV   1.605E-02  5.673E-06  251.21 mm    10.93 mm     2.90 mm  
   1.00 GeV   1.505E-02  5.145E-06  300.33 mm    12.97 mm     3.44 mm  
   1.10 GeV   1.422E-02  4.710E-06  352.51 mm    14.94 mm     4.00 mm  
   1.20 GeV   1.354E-02  4.345E-06  407.51 mm    16.87 mm     4.58 mm  
   1.30 GeV   1.295E-02  4.034E-06  465.14 mm    18.75 mm     5.19 mm  
   1.40 GeV   1.246E-02  3.765E-06  525.22 mm    20.61 mm     5.81 mm  
   1.50 GeV   1.203E-02  3.532E-06  587.57 mm    22.44 mm     6.45 mm  
   1.60 GeV   1.165E-02  3.326E-06  652.05 mm    24.25 mm     7.10 mm  
   1.70 GeV   1.132E-02  3.144E-06  718.52 mm    26.03 mm     7.77 mm  
   1.80 GeV   1.102E-02  2.981E-06  786.84 mm    27.79 mm     8.44 mm  
   2.00 GeV   1.053E-02  2.703E-06  928.53 mm    34.31 mm     9.82 mm  
   2.25 GeV   1.004E-02  2.422E-06    1.11 m     43.25 mm    11.59 mm  
   2.50 GeV   9.656E-03  2.196E-06    1.31 m     51.26 mm    13.38 mm  
   2.75 GeV   9.348E-03  2.009E-06    1.51 m     58.65 mm    15.20 mm  
   3.00 GeV   9.098E-03  1.852E-06    1.72 m     65.60 mm    17.03 mm  
   3.25 GeV   8.891E-03  1.719E-06    1.93 m     72.19 mm    18.86 mm  
   3.50 GeV   8.719E-03  1.604E-06    2.14 m     78.48 mm    20.69 mm  
   3.75 GeV   8.574E-03  1.504E-06    2.37 m     84.51 mm    22.52 mm  
   4.00 GeV   8.452E-03  1.416E-06    2.59 m     90.31 mm    24.33 mm  
   4.50 GeV   8.259E-03  1.269E-06    3.05 m    111.12 mm    27.93 mm  
   5.00 GeV   8.116E-03  1.150E-06    3.51 m    129.29 mm    31.46 mm  
   5.50 GeV   8.010E-03  1.052E-06    3.99 m    145.67 mm    34.93 mm  
   6.00 GeV   7.930E-03  9.696E-07    4.46 m    160.72 mm    38.32 mm  
   6.50 GeV   7.869E-03  8.996E-07    4.95 m    174.72 mm    41.63 mm  
   7.00 GeV   7.825E-03  8.393E-07    5.43 m    187.84 mm    44.86 mm  
   8.00 GeV   7.768E-03  7.407E-07    6.41 m    233.47 mm    51.10 mm  
   9.00 GeV   7.740E-03  6.633E-07    7.40 m    271.93 mm    57.05 mm  
  10.00 GeV   7.732E-03  6.009E-07    8.38 m    305.74 mm    62.73 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.3100E+01                 eV / Angstrom 
  1.3100E+02                keV / micron   
  1.3100E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.2309E+01                 eV / (1E15 atoms/cm2)
  1.0623E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
