 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Nitrogen in  H- C- O

 Ion = Nitrogen [7] , Mass = 14.003 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = -3.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   1.50 MeV   7.068E+00  5.533E-02    2.64 um     1558 A      2029 A   
   1.60 MeV   7.282E+00  5.253E-02    2.75 um     1575 A      2058 A   
   1.70 MeV   7.483E+00  5.002E-02    2.85 um     1590 A      2085 A   
   1.80 MeV   7.671E+00  4.776E-02    2.95 um     1605 A      2110 A   
   2.00 MeV   8.013E+00  4.385E-02    3.14 um     1642 A      2156 A   
   2.25 MeV   8.380E+00  3.983E-02    3.37 um     1690 A      2206 A   
   2.50 MeV   8.689E+00  3.654E-02    3.60 um     1732 A      2250 A   
   2.75 MeV   8.947E+00  3.379E-02    3.81 um     1770 A      2290 A   
   3.00 MeV   9.162E+00  3.145E-02    4.02 um     1804 A      2325 A   
   3.25 MeV   9.340E+00  2.943E-02    4.23 um     1837 A      2358 A   
   3.50 MeV   9.487E+00  2.767E-02    4.43 um     1867 A      2389 A   
   3.75 MeV   9.608E+00  2.613E-02    4.63 um     1896 A      2418 A   
   4.00 MeV   9.707E+00  2.476E-02    4.82 um     1924 A      2445 A   
   4.50 MeV   9.852E+00  2.244E-02    5.21 um     2014 A      2495 A   
   5.00 MeV   9.942E+00  2.054E-02    5.60 um     2098 A      2540 A   
   5.50 MeV   9.992E+00  1.895E-02    5.98 um     2177 A      2583 A   
   6.00 MeV   1.001E+01  1.761E-02    6.36 um     2252 A      2623 A   
   6.50 MeV   1.000E+01  1.646E-02    6.74 um     2325 A      2661 A   
   7.00 MeV   9.976E+00  1.545E-02    7.12 um     2395 A      2698 A   
   8.00 MeV   9.874E+00  1.379E-02    7.89 um     2644 A      2767 A   
   9.00 MeV   9.727E+00  1.248E-02    8.66 um     2877 A      2834 A   
  10.00 MeV   9.552E+00  1.140E-02    9.46 um     3100 A      2898 A   
  11.00 MeV   9.359E+00  1.050E-02   10.26 um     3314 A      2960 A   
  12.00 MeV   9.157E+00  9.747E-03   11.09 um     3524 A      3022 A   
  13.00 MeV   8.953E+00  9.098E-03   11.93 um     3731 A      3083 A   
  14.00 MeV   8.748E+00  8.534E-03   12.79 um     3936 A      3145 A   
  15.00 MeV   8.547E+00  8.040E-03   13.67 um     4139 A      3207 A   
  16.00 MeV   8.349E+00  7.603E-03   14.57 um     4342 A      3269 A   
  17.00 MeV   8.158E+00  7.214E-03   15.50 um     4545 A      3332 A   
  18.00 MeV   7.972E+00  6.865E-03   16.44 um     4748 A      3396 A   
  20.00 MeV   7.620E+00  6.264E-03   18.40 um     5514 A      3526 A   
