 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in  H- C- O

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = -3.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 110.00 keV   1.883E+00  2.577E-01    4210 A       730 A       726 A   
 120.00 keV   1.948E+00  2.434E-01    4544 A       759 A       766 A   
 130.00 keV   2.010E+00  2.307E-01    4872 A       787 A       804 A   
 140.00 keV   2.069E+00  2.195E-01    5193 A       813 A       840 A   
 150.00 keV   2.126E+00  2.095E-01    5509 A       837 A       875 A   
 160.00 keV   2.181E+00  2.004E-01    5819 A       859 A       908 A   
 170.00 keV   2.235E+00  1.922E-01    6124 A       880 A       939 A   
 180.00 keV   2.287E+00  1.847E-01    6423 A       900 A       969 A   
 200.00 keV   2.390E+00  1.715E-01    7009 A       938 A      1025 A   
 225.00 keV   2.515E+00  1.578E-01    7714 A       981 A      1090 A   
 250.00 keV   2.637E+00  1.463E-01    8393 A      1019 A      1148 A   
 275.00 keV   2.757E+00  1.365E-01    9048 A      1052 A      1202 A   
 300.00 keV   2.875E+00  1.281E-01    9679 A      1082 A      1251 A   
 325.00 keV   2.990E+00  1.207E-01    1.03 um     1109 A      1296 A   
 350.00 keV   3.103E+00  1.143E-01    1.09 um     1134 A      1338 A   
 375.00 keV   3.213E+00  1.085E-01    1.15 um     1156 A      1377 A   
 400.00 keV   3.320E+00  1.034E-01    1.20 um     1176 A      1413 A   
 450.00 keV   3.527E+00  9.459E-02    1.31 um     1217 A      1479 A   
 500.00 keV   3.725E+00  8.729E-02    1.41 um     1252 A      1538 A   
 550.00 keV   3.914E+00  8.114E-02    1.50 um     1282 A      1590 A   
 600.00 keV   4.095E+00  7.587E-02    1.60 um     1309 A      1637 A   
 650.00 keV   4.270E+00  7.130E-02    1.69 um     1332 A      1679 A   
 700.00 keV   4.437E+00  6.729E-02    1.77 um     1354 A      1718 A   
 800.00 keV   4.755E+00  6.060E-02    1.93 um     1400 A      1787 A   
 900.00 keV   5.052E+00  5.522E-02    2.09 um     1439 A      1846 A   
   1.00 MeV   5.330E+00  5.078E-02    2.23 um     1472 A      1898 A   
   1.10 MeV   5.590E+00  4.706E-02    2.37 um     1501 A      1943 A   
   1.20 MeV   5.833E+00  4.388E-02    2.50 um     1526 A      1984 A   
   1.30 MeV   6.061E+00  4.114E-02    2.63 um     1549 A      2021 A   
   1.40 MeV   6.273E+00  3.875E-02    2.75 um     1570 A      2054 A   
   1.50 MeV   6.470E+00  3.664E-02    2.87 um     1589 A      2085 A   
   1.60 MeV   6.653E+00  3.477E-02    2.98 um     1606 A      2114 A   
   1.70 MeV   6.822E+00  3.309E-02    3.10 um     1623 A      2140 A   
   1.80 MeV   6.978E+00  3.158E-02    3.20 um     1638 A      2165 A   
   2.00 MeV   7.254E+00  2.896E-02    3.42 um     1679 A      2209 A   
   2.25 MeV   7.537E+00  2.628E-02    3.67 um     1732 A      2259 A   
   2.50 MeV   7.760E+00  2.409E-02    3.92 um     1780 A      2303 A   
   2.75 MeV   7.935E+00  2.226E-02    4.16 um     1823 A      2343 A   
   3.00 MeV   8.069E+00  2.070E-02    4.40 um     1864 A      2379 A   
   3.25 MeV   8.170E+00  1.936E-02    4.64 um     1902 A      2413 A   
   3.50 MeV   8.244E+00  1.820E-02    4.87 um     1939 A      2445 A   
   3.75 MeV   8.296E+00  1.717E-02    5.10 um     1974 A      2475 A   
