 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in  H- O

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 170.00 keV   1.420E+00  1.219E-02    1.85 um     1989 A      2543 A   
 180.00 keV   1.461E+00  1.164E-02    1.92 um     2007 A      2579 A   
 200.00 keV   1.538E+00  1.070E-02    2.05 um     2041 A      2644 A   
 225.00 keV   1.626E+00  9.737E-03    2.20 um     2080 A      2716 A   
 250.00 keV   1.706E+00  8.942E-03    2.35 um     2114 A      2778 A   
 275.00 keV   1.778E+00  8.277E-03    2.49 um     2143 A      2833 A   
 300.00 keV   1.843E+00  7.710E-03    2.63 um     2170 A      2883 A   
 325.00 keV   1.901E+00  7.222E-03    2.76 um     2194 A      2929 A   
 350.00 keV   1.952E+00  6.796E-03    2.89 um     2215 A      2970 A   
 375.00 keV   1.998E+00  6.421E-03    3.01 um     2236 A      3009 A   
 400.00 keV   2.038E+00  6.089E-03    3.14 um     2254 A      3045 A   
 450.00 keV   2.102E+00  5.523E-03    3.37 um     2301 A      3110 A   
 500.00 keV   2.148E+00  5.061E-03    3.61 um     2343 A      3169 A   
 550.00 keV   2.179E+00  4.674E-03    3.84 um     2382 A      3223 A   
 600.00 keV   2.197E+00  4.346E-03    4.06 um     2419 A      3273 A   
 650.00 keV   2.204E+00  4.064E-03    4.29 um     2454 A      3320 A   
 700.00 keV   2.203E+00  3.819E-03    4.52 um     2488 A      3365 A   
 800.00 keV   2.181E+00  3.412E-03    4.97 um     2594 A      3450 A   
 900.00 keV   2.142E+00  3.089E-03    5.43 um     2697 A      3530 A   
   1.00 MeV   2.094E+00  2.824E-03    5.90 um     2799 A      3607 A   
   1.10 MeV   2.040E+00  2.604E-03    6.38 um     2902 A      3682 A   
   1.20 MeV   1.985E+00  2.418E-03    6.88 um     3005 A      3757 A   
   1.30 MeV   1.931E+00  2.258E-03    7.39 um     3110 A      3832 A   
   1.40 MeV   1.878E+00  2.119E-03    7.91 um     3217 A      3907 A   
   1.50 MeV   1.826E+00  1.997E-03    8.45 um     3325 A      3982 A   
   1.60 MeV   1.777E+00  1.890E-03    9.01 um     3436 A      4059 A   
   1.70 MeV   1.730E+00  1.794E-03    9.57 um     3548 A      4137 A   
   1.80 MeV   1.685E+00  1.707E-03   10.16 um     3663 A      4216 A   
   2.00 MeV   1.602E+00  1.559E-03   11.37 um     4084 A      4379 A   
   2.25 MeV   1.507E+00  1.408E-03   12.98 um     4718 A      4593 A   
   2.50 MeV   1.422E+00  1.285E-03   14.69 um     5342 A      4820 A   
   2.75 MeV   1.346E+00  1.183E-03   16.49 um     5964 A      5061 A   
   3.00 MeV   1.278E+00  1.096E-03   18.39 um     6589 A      5316 A   
   3.25 MeV   1.216E+00  1.022E-03   20.40 um     7217 A      5585 A   
   3.50 MeV   1.160E+00  9.584E-04   22.50 um     7853 A      5870 A   
   3.75 MeV   1.109E+00  9.022E-04   24.70 um     8496 A      6171 A   
   4.00 MeV   1.062E+00  8.527E-04   27.00 um     9147 A      6487 A   
   4.50 MeV   9.811E-01  7.690E-04   31.89 um     1.16 um     7165 A   
   5.00 MeV   9.123E-01  7.009E-04   37.17 um     1.39 um     7905 A   
