 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Januar 12, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Boron in  H- C- O

 Ion = Boron [5] , Mass = 11.009 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   4.50 MeV   6.719E+00  9.749E-03    6.59 um     2260 A      2557 A   
   5.00 MeV   6.644E+00  8.912E-03    7.16 um     2413 A      2616 A   
   5.50 MeV   6.554E+00  8.215E-03    7.74 um     2560 A      2672 A   
   6.00 MeV   6.454E+00  7.625E-03    8.32 um     2702 A      2727 A   
   6.50 MeV   6.347E+00  7.119E-03    8.92 um     2842 A      2781 A   
   7.00 MeV   6.237E+00  6.680E-03    9.52 um     2979 A      2834 A   
   8.00 MeV   6.011E+00  5.954E-03   10.77 um     3480 A      2940 A   
   9.00 MeV   5.786E+00  5.378E-03   12.06 um     3948 A      3045 A   
  10.00 MeV   5.568E+00  4.909E-03   13.41 um     4399 A      3152 A   
  11.00 MeV   5.359E+00  4.519E-03   14.80 um     4838 A      3261 A   
  12.00 MeV   5.161E+00  4.190E-03   16.25 um     5271 A      3372 A   
  13.00 MeV   4.974E+00  3.907E-03   17.76 um     5701 A      3487 A   
  14.00 MeV   4.797E+00  3.663E-03   19.32 um     6129 A      3605 A   
  15.00 MeV   4.631E+00  3.449E-03   20.94 um     6559 A      3726 A   
  16.00 MeV   4.475E+00  3.259E-03   22.61 um     6990 A      3852 A   
  17.00 MeV   4.328E+00  3.091E-03   24.35 um     7424 A      3981 A   
  18.00 MeV   4.189E+00  2.940E-03   26.14 um     7862 A      4115 A   
  20.00 MeV   3.936E+00  2.680E-03   29.90 um     9520 A      4396 A   
  22.50 MeV   3.673E+00  2.416E-03   34.91 um     1.19 um     4772 A   
  25.00 MeV   3.477E+00  2.202E-03   40.25 um     1.41 um     5175 A   
  27.50 MeV   3.268E+00  2.025E-03   45.91 um     1.63 um     5602 A   
  30.00 MeV   3.076E+00  1.875E-03   51.93 um     1.84 um     6058 A   
  32.50 MeV   2.906E+00  1.746E-03   58.31 um     2.05 um     6542 A   
  35.00 MeV   2.756E+00  1.635E-03   65.05 um     2.27 um     7054 A   
  37.50 MeV   2.621E+00  1.538E-03   72.15 um     2.48 um     7594 A   
  40.00 MeV   2.499E+00  1.453E-03   79.60 um     2.70 um     8162 A   
  45.00 MeV   2.289E+00  1.308E-03   95.56 um     3.53 um     9381 A   
  50.00 MeV   2.113E+00  1.191E-03  112.91 um     4.31 um     1.07 um  
  55.00 MeV   1.964E+00  1.094E-03  131.64 um     5.07 um     1.21 um  
  60.00 MeV   1.836E+00  1.012E-03  151.74 um     5.82 um     1.37 um  
  65.00 MeV   1.724E+00  9.425E-04  173.19 um     6.57 um     1.53 um  
  70.00 MeV   1.626E+00  8.820E-04  195.98 um     7.33 um     1.71 um  
  80.00 MeV   1.461E+00  7.826E-04  245.50 um    10.16 um     2.08 um  
  90.00 MeV   1.328E+00  7.041E-04  300.29 um    12.80 um     2.50 um  
 100.00 MeV   1.219E+00  6.405E-04  360.28 um    15.37 um     2.96 um  
 110.00 MeV   1.126E+00  5.879E-04  425.43 um    17.95 um     3.45 um  
 120.00 MeV   1.047E+00  5.436E-04  495.70 um    20.54 um     3.98 um  
 130.00 MeV   9.791E-01  5.058E-04  571.07 um    23.17 um     4.55 um  
 140.00 MeV   9.194E-01  4.731E-04  651.51 um    25.84 um     5.16 um  
 150.00 MeV   8.668E-01  4.445E-04  737.00 um    28.56 um     5.80 um  
 160.00 MeV   8.200E-01  4.194E-04  827.53 um    31.33 um     6.48 um  
 170.00 MeV   7.781E-01  3.970E-04  923.07 um    34.16 um     7.19 um  
 180.00 MeV   7.404E-01  3.770E-04    1.02 mm    37.04 um     7.94 um  
 200.00 MeV   6.755E-01  3.427E-04    1.24 mm    48.08 um     9.56 um  
 225.00 MeV   6.097E-01  3.080E-04    1.54 mm    63.97 um    11.77 um  
 250.00 MeV   5.569E-01  2.799E-04    1.86 mm    79.08 um    14.21 um  
 275.00 MeV   5.141E-01  2.567E-04    2.22 mm    93.91 um    16.87 um  
 300.00 MeV   4.792E-01  2.372E-04    2.61 mm   108.63 um    19.72 um  
 325.00 MeV   4.507E-01  2.206E-04    3.02 mm   123.30 um    22.77 um  
 350.00 MeV   4.247E-01  2.062E-04    3.45 mm   138.01 um    26.00 um  
 375.00 MeV   4.013E-01  1.936E-04    3.91 mm   152.85 um    29.41 um  
 400.00 MeV   3.807E-01  1.826E-04    4.40 mm   167.87 um    33.00 um  
 450.00 MeV   3.458E-01  1.640E-04    5.45 mm   224.63 um    40.72 um  
 500.00 MeV   3.174E-01  1.489E-04    6.61 mm   277.83 um    49.14 um  
 550.00 MeV   2.939E-01  1.365E-04    7.86 mm   329.62 um    58.24 um  
 600.00 MeV   2.741E-01  1.261E-04    9.20 mm   380.92 um    67.98 um  
 650.00 MeV   2.571E-01  1.172E-04   10.64 mm   432.18 um    78.36 um  
 700.00 MeV   2.424E-01  1.095E-04   12.17 mm   483.67 um    89.36 um  
 800.00 MeV   2.182E-01  9.688E-05   15.49 mm   674.87 um   113.15 um  
 900.00 MeV   1.991E-01  8.696E-05   19.15 mm   851.56 um   139.21 um  
   1.00 GeV   1.837E-01  7.895E-05   23.14 mm     1.02 mm   167.44 um  
   1.10 GeV   1.709E-01  7.233E-05   27.45 mm     1.19 mm   197.72 um  
   1.20 GeV   1.601E-01  6.677E-05   32.06 mm     1.36 mm   229.96 um  
   1.30 GeV   1.509E-01  6.203E-05   36.97 mm     1.53 mm   264.07 um  
   1.40 GeV   1.430E-01  5.794E-05   42.17 mm     1.70 mm   299.97 um  
   1.50 GeV   1.361E-01  5.438E-05   47.64 mm     1.87 mm   337.56 um  
   1.60 GeV   1.300E-01  5.124E-05   53.37 mm     2.04 mm   376.78 um  
   1.70 GeV   1.246E-01  4.845E-05   59.37 mm     2.21 mm   417.56 um  
   1.80 GeV   1.198E-01  4.597E-05   65.62 mm     2.38 mm   459.82 um  
   2.00 GeV   1.115E-01  4.171E-05   78.83 mm     3.03 mm   548.60 um  
   2.25 GeV   1.032E-01  3.741E-05   96.61 mm     3.94 mm   666.87 um  
   2.50 GeV   9.654E-02  3.394E-05  115.73 mm     4.78 mm   792.46 um  
   2.75 GeV   9.105E-02  3.108E-05  136.08 mm     5.59 mm   924.63 um  
   3.00 GeV   8.645E-02  2.868E-05  157.59 mm     6.36 mm     1.06 mm  
   3.25 GeV   8.256E-02  2.663E-05  180.18 mm     7.12 mm     1.21 mm  
   3.50 GeV   7.922E-02  2.487E-05  203.78 mm     7.87 mm     1.35 mm  
   3.75 GeV   7.632E-02  2.333E-05  228.32 mm     8.61 mm     1.51 mm  
   4.00 GeV   7.379E-02  2.197E-05  253.74 mm     9.33 mm     1.66 mm  
   4.50 GeV   6.959E-02  1.970E-05  307.01 mm    12.00 mm     1.99 mm  
   5.00 GeV   6.625E-02  1.787E-05  363.22 mm    14.40 mm     2.32 mm  
   5.50 GeV   6.354E-02  1.635E-05  422.04 mm    16.64 mm     2.66 mm  
   6.00 GeV   6.131E-02  1.509E-05  483.19 mm    18.76 mm     3.01 mm  
   6.50 GeV   5.944E-02  1.400E-05  546.42 mm    20.79 mm     3.37 mm  
   7.00 GeV   5.786E-02  1.307E-05  611.49 mm    22.75 mm     3.73 mm  
   8.00 GeV   5.536E-02  1.155E-05  746.38 mm    29.70 mm     4.45 mm  
   9.00 GeV   5.348E-02  1.035E-05  886.69 mm    35.73 mm     5.18 mm  
  10.00 GeV   5.203E-02  9.380E-06    1.03 m     41.19 mm     5.91 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.3100E+01                 eV / Angstrom 
  1.3100E+02                keV / micron   
  1.3100E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.2309E+01                 eV / (1E15 atoms/cm2)
  2.8725E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
