 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Januar 12, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Nitrogen in  H- C- O

 Ion = Nitrogen [7] , Mass = 14.003 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   1.10 MeV   6.241E+00  7.083E-02    2.13 um     1421 A      1815 A   
   1.20 MeV   6.525E+00  6.611E-02    2.25 um     1445 A      1856 A   
   1.30 MeV   6.791E+00  6.204E-02    2.36 um     1467 A      1892 A   
   1.40 MeV   7.040E+00  5.847E-02    2.47 um     1486 A      1925 A   
   1.50 MeV   7.274E+00  5.533E-02    2.57 um     1504 A      1955 A   
   1.60 MeV   7.493E+00  5.253E-02    2.68 um     1520 A      1983 A   
   1.70 MeV   7.698E+00  5.002E-02    2.77 um     1535 A      2009 A   
   1.80 MeV   7.891E+00  4.776E-02    2.87 um     1549 A      2033 A   
   2.00 MeV   8.238E+00  4.385E-02    3.06 um     1585 A      2077 A   
   2.25 MeV   8.611E+00  3.983E-02    3.28 um     1631 A      2125 A   
   2.50 MeV   8.922E+00  3.654E-02    3.50 um     1672 A      2167 A   
   2.75 MeV   9.181E+00  3.379E-02    3.71 um     1709 A      2205 A   
   3.00 MeV   9.394E+00  3.145E-02    3.91 um     1743 A      2239 A   
   3.25 MeV   9.569E+00  2.943E-02    4.11 um     1775 A      2271 A   
   3.50 MeV   9.711E+00  2.767E-02    4.31 um     1805 A      2300 A   
   3.75 MeV   9.825E+00  2.613E-02    4.51 um     1833 A      2328 A   
   4.00 MeV   9.917E+00  2.476E-02    4.70 um     1860 A      2354 A   
   4.50 MeV   1.004E+01  2.244E-02    5.08 um     1949 A      2402 A   
   5.00 MeV   1.012E+01  2.054E-02    5.46 um     2032 A      2446 A   
   5.50 MeV   1.014E+01  1.895E-02    5.83 um     2111 A      2488 A   
   6.00 MeV   1.014E+01  1.761E-02    6.21 um     2186 A      2527 A   
   6.50 MeV   1.012E+01  1.646E-02    6.58 um     2259 A      2564 A   
   7.00 MeV   1.007E+01  1.545E-02    6.96 um     2329 A      2600 A   
   8.00 MeV   9.943E+00  1.379E-02    7.72 um     2581 A      2668 A   
   9.00 MeV   9.775E+00  1.248E-02    8.49 um     2816 A      2734 A   
  10.00 MeV   9.585E+00  1.140E-02    9.28 um     3040 A      2797 A   
  11.00 MeV   9.382E+00  1.050E-02   10.09 um     3258 A      2859 A   
  12.00 MeV   9.173E+00  9.747E-03   10.91 um     3470 A      2921 A   
  13.00 MeV   8.964E+00  9.098E-03   11.75 um     3679 A      2982 A   
  14.00 MeV   8.756E+00  8.534E-03   12.61 um     3886 A      3044 A   
  15.00 MeV   8.552E+00  8.040E-03   13.49 um     4091 A      3106 A   
  16.00 MeV   8.353E+00  7.603E-03   14.39 um     4296 A      3168 A   
  17.00 MeV   8.161E+00  7.214E-03   15.32 um     4500 A      3231 A   
  18.00 MeV   7.974E+00  6.865E-03   16.26 um     4705 A      3295 A   
  20.00 MeV   7.621E+00  6.264E-03   18.22 um     5477 A      3427 A   
  22.50 MeV   7.217E+00  5.653E-03   20.79 um     6596 A      3597 A   
  25.00 MeV   6.850E+00  5.156E-03   23.50 um     7651 A      3776 A   
  27.50 MeV   6.517E+00  4.744E-03   26.36 um     8671 A      3964 A   
  30.00 MeV   6.287E+00  4.395E-03   29.34 um     9661 A      4161 A   
  32.50 MeV   6.055E+00  4.097E-03   32.43 um     1.06 um     4365 A   
  35.00 MeV   5.803E+00  3.839E-03   35.65 um     1.16 um     4577 A   
  37.50 MeV   5.567E+00  3.613E-03   39.00 um     1.25 um     4798 A   
  40.00 MeV   5.352E+00  3.413E-03   42.50 um     1.35 um     5029 A   
  45.00 MeV   4.972E+00  3.076E-03   49.89 um     1.71 um     5520 A   
  50.00 MeV   4.648E+00  2.803E-03   57.83 um     2.05 um     6048 A   
  55.00 MeV   4.368E+00  2.576E-03   66.30 um     2.38 um     6613 A   
  60.00 MeV   4.122E+00  2.385E-03   75.29 um     2.70 um     7214 A   
  65.00 MeV   3.905E+00  2.221E-03   84.80 um     3.02 um     7851 A   
  70.00 MeV   3.711E+00  2.080E-03   94.82 um     3.34 um     8522 A   
  80.00 MeV   3.380E+00  1.847E-03  116.37 um     4.53 um     9968 A   
  90.00 MeV   3.106E+00  1.663E-03  139.93 um     5.63 um     1.15 um  
 100.00 MeV   2.876E+00  1.514E-03  165.46 um     6.70 um     1.33 um  
 110.00 MeV   2.678E+00  1.390E-03  192.96 um     7.75 um     1.51 um  
 120.00 MeV   2.507E+00  1.286E-03  222.42 um     8.81 um     1.70 um  
 130.00 MeV   2.357E+00  1.197E-03  253.82 um     9.88 um     1.91 um  
 140.00 MeV   2.224E+00  1.120E-03  287.16 um    10.96 um     2.13 um  
 150.00 MeV   2.105E+00  1.053E-03  322.43 um    12.05 um     2.36 um  
 160.00 MeV   1.999E+00  9.935E-04  359.64 um    13.16 um     2.61 um  
 170.00 MeV   1.902E+00  9.409E-04  398.78 um    14.29 um     2.86 um  
 180.00 MeV   1.815E+00  8.937E-04  439.86 um    15.44 um     3.13 um  
 200.00 MeV   1.663E+00  8.128E-04  527.74 um    19.85 um     3.71 um  
 225.00 MeV   1.505E+00  7.310E-04  648.39 um    26.21 um     4.49 um  
 250.00 MeV   1.375E+00  6.647E-04  781.04 um    32.27 um     5.35 um  
 275.00 MeV   1.267E+00  6.099E-04  925.60 um    38.24 um     6.28 um  
 300.00 MeV   1.176E+00  5.637E-04    1.08 mm    44.21 um     7.29 um  
 325.00 MeV   1.099E+00  5.243E-04    1.25 mm    50.22 um     8.37 um  
 350.00 MeV   1.033E+00  4.903E-04    1.43 mm    56.29 um     9.52 um  
 375.00 MeV   9.771E-01  4.606E-04    1.62 mm    62.42 um    10.74 um  
 400.00 MeV   9.288E-01  4.344E-04    1.82 mm    68.60 um    12.02 um  
 450.00 MeV   8.459E-01  3.903E-04    2.25 mm    91.84 um    14.78 um  
 500.00 MeV   7.761E-01  3.547E-04    2.72 mm   113.57 um    17.78 um  
 550.00 MeV   7.180E-01  3.253E-04    3.23 mm   134.75 um    21.02 um  
 600.00 MeV   6.690E-01  3.005E-04    3.78 mm   155.76 um    24.50 um  
 650.00 MeV   6.270E-01  2.794E-04    4.37 mm   176.79 um    28.22 um  
 700.00 MeV   5.906E-01  2.611E-04    5.00 mm   197.93 um    32.16 um  
 800.00 MeV   5.306E-01  2.312E-04    6.36 mm   276.66 um    40.69 um  
 900.00 MeV   4.832E-01  2.076E-04    7.87 mm   349.59 um    50.08 um  
   1.00 GeV   4.448E-01  1.885E-04    9.52 mm   420.38 um    60.27 um  
   1.10 GeV   4.129E-01  1.728E-04   11.30 mm   490.43 um    71.24 um  
   1.20 GeV   3.861E-01  1.596E-04   13.21 mm   560.39 um    82.96 um  
   1.30 GeV   3.631E-01  1.483E-04   15.25 mm   630.60 um    95.39 um  
   1.40 GeV   3.433E-01  1.385E-04   17.41 mm   701.22 um   108.52 um  
   1.50 GeV   3.260E-01  1.300E-04   19.69 mm   772.34 um   122.31 um  
   1.60 GeV   3.108E-01  1.226E-04   22.09 mm   843.98 um   136.74 um  
   1.70 GeV   2.972E-01  1.159E-04   24.60 mm   916.17 um   151.78 um  
   1.80 GeV   2.851E-01  1.100E-04   27.22 mm   988.87 um   167.43 um  
   2.00 GeV   2.644E-01  9.984E-05   32.78 mm     1.26 mm   200.43 um  
   2.25 GeV   2.435E-01  8.959E-05   40.30 mm     1.65 mm   244.70 um  
   2.50 GeV   2.267E-01  8.131E-05   48.43 mm     2.01 mm   292.03 um  
   2.75 GeV   2.128E-01  7.448E-05   57.12 mm     2.36 mm   342.18 um  
   3.00 GeV   2.011E-01  6.874E-05   66.34 mm     2.70 mm   394.92 um  
   3.25 GeV   1.912E-01  6.385E-05   76.07 mm     3.03 mm   450.05 um  
   3.50 GeV   1.827E-01  5.963E-05   86.28 mm     3.36 mm   507.36 um  
   3.75 GeV   1.753E-01  5.595E-05   96.94 mm     3.68 mm   566.69 um  
   4.00 GeV   1.689E-01  5.271E-05  108.03 mm     4.01 mm   627.87 um  
   4.50 GeV   1.581E-01  4.728E-05  131.40 mm     5.20 mm   755.26 um  
   5.00 GeV   1.494E-01  4.289E-05  156.23 mm     6.27 mm   888.44 um  
   5.50 GeV   1.424E-01  3.927E-05  182.40 mm     7.29 mm     1.03 mm  
   6.00 GeV   1.365E-01  3.623E-05  209.77 mm     8.26 mm     1.17 mm  
   6.50 GeV   1.316E-01  3.364E-05  238.24 mm     9.19 mm     1.31 mm  
   7.00 GeV   1.274E-01  3.141E-05  267.71 mm    10.09 mm     1.46 mm  
   8.00 GeV   1.207E-01  2.775E-05  329.26 mm    13.33 mm     1.77 mm  
   9.00 GeV   1.156E-01  2.488E-05  393.88 mm    16.17 mm     2.08 mm  
  10.00 GeV   1.116E-01  2.256E-05  461.08 mm    18.76 mm     2.39 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.3100E+01                 eV / Angstrom 
  1.3100E+02                keV / micron   
  1.3100E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.2309E+01                 eV / (1E15 atoms/cm2)
  1.9984E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
