 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Januar 12, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Oxygen in  H- C- O

 Ion = Oxygen [8] , Mass = 15.995 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 130.00 keV   2.081E+00  4.588E-01    3972 A       706 A       667 A   
 140.00 keV   2.144E+00  4.381E-01    4254 A       734 A       703 A   
 150.00 keV   2.203E+00  4.195E-01    4531 A       761 A       737 A   
 160.00 keV   2.260E+00  4.025E-01    4805 A       787 A       771 A   
 170.00 keV   2.314E+00  3.871E-01    5076 A       811 A       803 A   
 180.00 keV   2.366E+00  3.730E-01    5343 A       834 A       834 A   
 200.00 keV   2.465E+00  3.480E-01    5869 A       878 A       893 A   
 225.00 keV   2.582E+00  3.216E-01    6509 A       928 A       961 A   
 250.00 keV   2.694E+00  2.994E-01    7132 A       973 A      1025 A   
 275.00 keV   2.804E+00  2.804E-01    7738 A      1014 A      1084 A   
 300.00 keV   2.913E+00  2.639E-01    8328 A      1051 A      1139 A   
 325.00 keV   3.021E+00  2.495E-01    8902 A      1085 A      1191 A   
 350.00 keV   3.130E+00  2.367E-01    9461 A      1116 A      1239 A   
 375.00 keV   3.238E+00  2.254E-01    1.00 um     1145 A      1285 A   
 400.00 keV   3.346E+00  2.151E-01    1.05 um     1171 A      1327 A   
 450.00 keV   3.561E+00  1.975E-01    1.16 um     1222 A      1406 A   
 500.00 keV   3.775E+00  1.829E-01    1.25 um     1266 A      1476 A   
 550.00 keV   3.986E+00  1.704E-01    1.34 um     1304 A      1539 A   
 600.00 keV   4.195E+00  1.597E-01    1.43 um     1337 A      1596 A   
 650.00 keV   4.400E+00  1.504E-01    1.52 um     1367 A      1648 A   
 700.00 keV   4.603E+00  1.423E-01    1.60 um     1393 A      1695 A   
 800.00 keV   5.000E+00  1.285E-01    1.75 um     1446 A      1778 A   
 900.00 keV   5.385E+00  1.174E-01    1.89 um     1490 A      1849 A   
   1.00 MeV   5.757E+00  1.083E-01    2.03 um     1526 A      1911 A   
   1.10 MeV   6.117E+00  1.005E-01    2.15 um     1557 A      1965 A   
   1.20 MeV   6.464E+00  9.393E-02    2.27 um     1584 A      2012 A   
   1.30 MeV   6.799E+00  8.821E-02    2.38 um     1608 A      2055 A   
   1.40 MeV   7.120E+00  8.320E-02    2.49 um     1628 A      2093 A   
   1.50 MeV   7.429E+00  7.878E-02    2.59 um     1647 A      2127 A   
   1.60 MeV   7.725E+00  7.484E-02    2.69 um     1664 A      2159 A   
   1.70 MeV   8.007E+00  7.131E-02    2.79 um     1679 A      2188 A   
   1.80 MeV   8.277E+00  6.812E-02    2.88 um     1693 A      2214 A   
   2.00 MeV   8.777E+00  6.259E-02    3.06 um     1726 A      2262 A   
   2.25 MeV   9.332E+00  5.692E-02    3.26 um     1767 A      2313 A   
   2.50 MeV   9.813E+00  5.226E-02    3.46 um     1802 A      2357 A   
   2.75 MeV   1.023E+01  4.835E-02    3.65 um     1833 A      2395 A   
   3.00 MeV   1.058E+01  4.503E-02    3.83 um     1861 A      2430 A   
   3.25 MeV   1.087E+01  4.217E-02    4.01 um     1887 A      2461 A   
   3.50 MeV   1.112E+01  3.967E-02    4.18 um     1910 A      2489 A   
   3.75 MeV   1.133E+01  3.748E-02    4.35 um     1933 A      2516 A   
   4.00 MeV   1.149E+01  3.553E-02    4.52 um     1954 A      2540 A   
   4.50 MeV   1.174E+01  3.222E-02    4.84 um     2020 A      2585 A   
   5.00 MeV   1.190E+01  2.951E-02    5.17 um     2081 A      2625 A   
   5.50 MeV   1.199E+01  2.725E-02    5.48 um     2138 A      2662 A   
   6.00 MeV   1.203E+01  2.533E-02    5.80 um     2193 A      2697 A   
   6.50 MeV   1.203E+01  2.369E-02    6.12 um     2247 A      2729 A   
   7.00 MeV   1.201E+01  2.225E-02    6.43 um     2298 A      2760 A   
   8.00 MeV   1.190E+01  1.988E-02    7.07 um     2482 A      2818 A   
   9.00 MeV   1.174E+01  1.799E-02    7.72 um     2656 A      2873 A   
  10.00 MeV   1.155E+01  1.644E-02    8.37 um     2824 A      2925 A   
  11.00 MeV   1.134E+01  1.516E-02    9.04 um     2988 A      2976 A   
  12.00 MeV   1.113E+01  1.407E-02    9.71 um     3148 A      3026 A   
  13.00 MeV   1.091E+01  1.314E-02   10.41 um     3306 A      3075 A   
  14.00 MeV   1.069E+01  1.233E-02   11.11 um     3463 A      3124 A   
  15.00 MeV   1.048E+01  1.162E-02   11.83 um     3619 A      3172 A   
  16.00 MeV   1.027E+01  1.099E-02   12.57 um     3775 A      3221 A   
  17.00 MeV   1.006E+01  1.043E-02   13.32 um     3930 A      3270 A   
  18.00 MeV   9.864E+00  9.930E-03   14.08 um     4086 A      3320 A   
  20.00 MeV   9.488E+00  9.065E-03   15.66 um     4671 A      3420 A   
  22.50 MeV   9.054E+00  8.184E-03   17.72 um     5521 A      3549 A   
  25.00 MeV   8.658E+00  7.468E-03   19.87 um     6324 A      3682 A   
  27.50 MeV   8.296E+00  6.873E-03   22.12 um     7096 A      3821 A   
  30.00 MeV   7.964E+00  6.371E-03   24.47 um     7851 A      3965 A   
  32.50 MeV   7.682E+00  5.940E-03   26.91 um     8592 A      4115 A   
  35.00 MeV   7.484E+00  5.567E-03   29.42 um     9315 A      4270 A   
  37.50 MeV   7.260E+00  5.241E-03   32.01 um     1.00 um     4429 A   
  40.00 MeV   7.017E+00  4.952E-03   34.68 um     1.07 um     4594 A   
  45.00 MeV   6.575E+00  4.465E-03   40.30 um     1.34 um     4942 A   
  50.00 MeV   6.193E+00  4.070E-03   46.28 um     1.59 um     5314 A   
  55.00 MeV   5.859E+00  3.742E-03   52.61 um     1.82 um     5709 A   
  60.00 MeV   5.563E+00  3.465E-03   59.29 um     2.06 um     6127 A   
  65.00 MeV   5.299E+00  3.228E-03   66.32 um     2.29 um     6568 A   
  70.00 MeV   5.061E+00  3.023E-03   73.68 um     2.52 um     7031 A   
  80.00 MeV   4.649E+00  2.686E-03   89.42 um     3.37 um     8023 A   
  90.00 MeV   4.302E+00  2.419E-03  106.49 um     4.15 um     9099 A   
 100.00 MeV   4.007E+00  2.202E-03  124.87 um     4.90 um     1.03 um  
 110.00 MeV   3.751E+00  2.023E-03  144.55 um     5.64 um     1.15 um  
 120.00 MeV   3.527E+00  1.872E-03  165.53 um     6.38 um     1.28 um  
 130.00 MeV   3.330E+00  1.743E-03  187.80 um     7.12 um     1.42 um  
 140.00 MeV   3.154E+00  1.631E-03  211.35 um     7.87 um     1.57 um  
 150.00 MeV   2.997E+00  1.534E-03  236.18 um     8.63 um     1.72 um  
 160.00 MeV   2.855E+00  1.447E-03  262.27 um     9.39 um     1.88 um  
 170.00 MeV   2.726E+00  1.371E-03  289.63 um    10.16 um     2.05 um  
 180.00 MeV   2.609E+00  1.302E-03  318.24 um    10.95 um     2.23 um  
 200.00 MeV   2.404E+00  1.185E-03  379.19 um    13.95 um     2.60 um  
 225.00 MeV   2.191E+00  1.066E-03  462.33 um    18.27 um     3.11 um  
 250.00 MeV   2.015E+00  9.694E-04  553.15 um    22.35 um     3.66 um  
 275.00 MeV   1.866E+00  8.896E-04  651.57 um    26.36 um     4.26 um  
 300.00 MeV   1.739E+00  8.225E-04  757.52 um    30.34 um     4.90 um  
 325.00 MeV   1.628E+00  7.651E-04  870.94 um    34.35 um     5.58 um  
 350.00 MeV   1.531E+00  7.156E-04  991.80 um    38.40 um     6.31 um  
 375.00 MeV   1.445E+00  6.723E-04    1.12 mm    42.50 um     7.07 um  
 400.00 MeV   1.368E+00  6.342E-04    1.26 mm    46.66 um     7.88 um  
 450.00 MeV   1.234E+00  5.700E-04    1.55 mm    62.55 um     9.63 um  
 500.00 MeV   1.125E+00  5.181E-04    1.87 mm    77.61 um    11.55 um  
 550.00 MeV   1.041E+00  4.751E-04    2.23 mm    92.32 um    13.64 um  
 600.00 MeV   9.704E-01  4.390E-04    2.61 mm   106.87 um    15.88 um  
 650.00 MeV   9.096E-01  4.082E-04    3.01 mm   121.42 um    18.27 um  
 700.00 MeV   8.568E-01  3.816E-04    3.44 mm   136.03 um    20.81 um  
 800.00 MeV   7.696E-01  3.379E-04    4.38 mm   190.42 um    26.33 um  
 900.00 MeV   7.005E-01  3.035E-04    5.42 mm   240.78 um    32.40 um  
