 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Januar 12, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  H- C- O

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   1.00 MeV   2.458E-01  1.863E-04   19.66 um     8529 A      7069 A   
   1.10 MeV   2.345E-01  1.715E-04   22.83 um     9777 A      8057 A   
   1.20 MeV   2.236E-01  1.589E-04   26.15 um     1.10 um     9084 A   
   1.30 MeV   2.119E-01  1.482E-04   29.65 um     1.22 um     1.02 um  
   1.40 MeV   2.015E-01  1.388E-04   33.34 um     1.34 um     1.13 um  
   1.50 MeV   1.921E-01  1.307E-04   37.21 um     1.47 um     1.24 um  
   1.60 MeV   1.836E-01  1.235E-04   41.26 um     1.59 um     1.36 um  
   1.70 MeV   1.759E-01  1.171E-04   45.50 um     1.72 um     1.49 um  
   1.80 MeV   1.688E-01  1.113E-04   49.92 um     1.85 um     1.62 um  
   2.00 MeV   1.563E-01  1.014E-04   59.30 um     2.31 um     1.90 um  
   2.25 MeV   1.432E-01  9.141E-05   72.03 um     2.97 um     2.27 um  
   2.50 MeV   1.323E-01  8.327E-05   85.86 um     3.61 um     2.66 um  
   2.75 MeV   1.230E-01  7.653E-05  100.79 um     4.23 um     3.09 um  
   3.00 MeV   1.151E-01  7.084E-05  116.79 um     4.84 um     3.55 um  
   3.25 MeV   1.083E-01  6.598E-05  133.85 um     5.47 um     4.03 um  
   3.50 MeV   1.022E-01  6.177E-05  151.96 um     6.09 um     4.54 um  
   3.75 MeV   9.691E-02  5.809E-05  171.09 um     6.73 um     5.07 um  
   4.00 MeV   9.216E-02  5.484E-05  191.25 um     7.37 um     5.64 um  
   4.50 MeV   8.406E-02  4.937E-05  234.53 um     9.70 um     6.84 um  
   5.00 MeV   7.738E-02  4.493E-05  281.78 um    11.91 um     8.14 um  
   5.50 MeV   7.177E-02  4.126E-05  332.90 um    14.07 um     9.55 um  
   6.00 MeV   6.699E-02  3.817E-05  387.85 um    16.21 um    11.05 um  
   6.50 MeV   6.286E-02  3.552E-05  446.56 um    18.37 um    12.64 um  
   7.00 MeV   5.925E-02  3.324E-05  508.99 um    20.55 um    14.34 um  
   8.00 MeV   5.324E-02  2.948E-05  644.68 um    28.42 um    18.00 um  
   9.00 MeV   4.843E-02  2.651E-05  794.77 um    35.79 um    22.02 um  
  10.00 MeV   4.448E-02  2.411E-05  958.96 um    43.02 um    26.40 um  
  11.00 MeV   4.118E-02  2.213E-05    1.14 mm    50.23 um    31.13 um  
  12.00 MeV   3.838E-02  2.045E-05    1.33 mm    57.49 um    36.20 um  
  13.00 MeV   3.596E-02  1.903E-05    1.53 mm    64.85 um    41.60 um  
  14.00 MeV   3.386E-02  1.779E-05    1.75 mm    72.32 um    47.33 um  
  15.00 MeV   3.201E-02  1.672E-05    1.98 mm    79.91 um    53.39 um  
  16.00 MeV   3.037E-02  1.577E-05    2.23 mm    87.63 um    59.76 um  
  17.00 MeV   2.891E-02  1.492E-05    2.49 mm    95.49 um    66.45 um  
  18.00 MeV   2.759E-02  1.417E-05    2.76 mm   103.48 um    73.45 um  
  20.00 MeV   2.532E-02  1.288E-05    3.33 mm   132.97 um    88.38 um  
  22.50 MeV   2.300E-02  1.157E-05    4.12 mm   175.15 um   108.72 um  
  25.00 MeV   2.111E-02  1.051E-05    4.99 mm   215.23 um   130.89 um  
  27.50 MeV   1.953E-02  9.640E-06    5.93 mm   254.59 um   154.84 um  
  30.00 MeV   1.820E-02  8.905E-06    6.94 mm   293.85 um   180.52 um  
  32.50 MeV   1.705E-02  8.279E-06    8.02 mm   333.31 um   207.90 um  
  35.00 MeV   1.606E-02  7.737E-06    9.17 mm   373.15 um   236.93 um  
  37.50 MeV   1.519E-02  7.265E-06   10.39 mm   413.46 um   267.60 um  
  40.00 MeV   1.442E-02  6.849E-06   11.68 mm   454.31 um   299.86 um  
  45.00 MeV   1.312E-02  6.150E-06   14.45 mm   604.69 um   369.05 um  
  50.00 MeV   1.206E-02  5.585E-06   17.48 mm   746.12 um   444.28 um  
  55.00 MeV   1.118E-02  5.118E-06   20.76 mm   884.06 um   525.33 um  
  60.00 MeV   1.044E-02  4.726E-06   24.29 mm     1.02 mm   612.02 um  
  65.00 MeV   9.803E-03  4.392E-06   28.06 mm     1.16 mm   704.15 um  
  70.00 MeV   9.253E-03  4.103E-06   32.06 mm     1.30 mm   801.56 um  
  80.00 MeV   8.347E-03  3.630E-06   40.74 mm     1.80 mm     1.01 mm  
  90.00 MeV   7.631E-03  3.257E-06   50.29 mm     2.26 mm     1.24 mm  
 100.00 MeV   7.050E-03  2.957E-06   60.69 mm     2.71 mm     1.49 mm  
 110.00 MeV   6.570E-03  2.708E-06   71.89 mm     3.15 mm     1.75 mm  
 120.00 MeV   6.165E-03  2.500E-06   83.87 mm     3.60 mm     2.03 mm  
 130.00 MeV   5.820E-03  2.322E-06   96.60 mm     4.04 mm     2.33 mm  
 140.00 MeV   5.522E-03  2.169E-06  110.05 mm     4.48 mm     2.64 mm  
 150.00 MeV   5.262E-03  2.035E-06  124.20 mm     4.93 mm     2.97 mm  
 160.00 MeV   5.032E-03  1.917E-06  139.01 mm     5.38 mm     3.31 mm  
 170.00 MeV   4.829E-03  1.813E-06  154.48 mm     5.83 mm     3.66 mm  
 180.00 MeV   4.648E-03  1.720E-06  170.57 mm     6.28 mm     4.02 mm  
 200.00 MeV   4.338E-03  1.560E-06  204.54 mm     7.95 mm     4.78 mm  
 225.00 MeV   4.025E-03  1.399E-06  250.17 mm    10.29 mm     5.79 mm  
 250.00 MeV   3.773E-03  1.269E-06  299.10 mm    12.46 mm     6.86 mm  
 275.00 MeV   3.567E-03  1.162E-06  351.07 mm    14.52 mm     7.98 mm  
 300.00 MeV   3.394E-03  1.072E-06  405.86 mm    16.52 mm     9.14 mm  
 325.00 MeV   3.248E-03  9.954E-07  463.28 mm    18.47 mm    10.35 mm  
 350.00 MeV   3.123E-03  9.293E-07  523.14 mm    20.38 mm    11.59 mm  
 375.00 MeV   3.014E-03  8.717E-07  585.29 mm    22.26 mm    12.86 mm  
 400.00 MeV   2.920E-03  8.211E-07  649.55 mm    24.12 mm    14.16 mm  
 450.00 MeV   2.763E-03  7.360E-07  783.84 mm    30.82 mm    16.83 mm  
 500.00 MeV   2.638E-03  6.674E-07  925.11 mm    36.85 mm    19.57 mm  
 550.00 MeV   2.537E-03  6.108E-07    1.07 m     42.47 mm    22.38 mm  
 600.00 MeV   2.454E-03  5.633E-07    1.23 m     47.78 mm    25.22 mm  
 650.00 MeV   2.385E-03  5.229E-07    1.38 m     52.85 mm    28.10 mm  
 700.00 MeV   2.327E-03  4.881E-07    1.54 m     57.73 mm    31.00 mm  
 800.00 MeV   2.235E-03  4.310E-07    1.88 m     74.86 mm    36.82 mm  
 900.00 MeV   2.167E-03  3.862E-07    2.23 m     89.69 mm    42.65 mm  
   1.00 GeV   2.115E-03  3.501E-07    2.58 m    103.09 mm    48.44 mm  
   1.10 GeV   2.075E-03  3.203E-07    2.95 m    115.45 mm    54.17 mm  
   1.20 GeV   2.043E-03  2.953E-07    3.32 m    126.99 mm    59.82 mm  
   1.30 GeV   2.018E-03  2.740E-07    3.69 m    137.86 mm    65.39 mm  
   1.40 GeV   1.999E-03  2.557E-07    4.07 m    148.16 mm    70.86 mm  
   1.50 GeV   1.983E-03  2.398E-07    4.46 m    157.96 mm    76.24 mm  
   1.60 GeV   1.970E-03  2.257E-07    4.84 m    167.33 mm    81.52 mm  
   1.70 GeV   1.960E-03  2.133E-07    5.23 m    176.30 mm    86.70 mm  
   1.80 GeV   1.953E-03  2.022E-07    5.62 m    184.92 mm    91.78 mm  
   2.00 GeV   1.942E-03  1.832E-07    6.40 m    215.93 mm   101.66 mm  
   2.25 GeV   1.935E-03  1.641E-07    7.39 m    257.27 mm   113.48 mm  
   2.50 GeV   1.932E-03  1.487E-07    8.37 m    293.01 mm   124.77 mm  
