 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Boron in  H- O

 Ion = Boron [5] , Mass = 11.009 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 180.00 keV   1.700E+00  1.392E-01    1.13 um     1632 A      1792 A   
 200.00 keV   1.790E+00  1.291E-01    1.23 um     1700 A      1895 A   
 225.00 keV   1.901E+00  1.185E-01    1.35 um     1776 A      2013 A   
 250.00 keV   2.009E+00  1.097E-01    1.47 um     1842 A      2119 A   
 275.00 keV   2.115E+00  1.022E-01    1.58 um     1900 A      2214 A   
 300.00 keV   2.218E+00  9.581E-02    1.69 um     1951 A      2301 A   
 325.00 keV   2.320E+00  9.023E-02    1.79 um     1997 A      2381 A   
 350.00 keV   2.419E+00  8.532E-02    1.89 um     2038 A      2454 A   
 375.00 keV   2.515E+00  8.097E-02    1.99 um     2075 A      2522 A   
 400.00 keV   2.610E+00  7.709E-02    2.08 um     2108 A      2584 A   
 450.00 keV   2.793E+00  7.043E-02    2.26 um     2174 A      2696 A   
 500.00 keV   2.969E+00  6.492E-02    2.43 um     2230 A      2794 A   
 550.00 keV   3.139E+00  6.029E-02    2.58 um     2278 A      2881 A   
 600.00 keV   3.302E+00  5.632E-02    2.73 um     2320 A      2959 A   
 650.00 keV   3.461E+00  5.289E-02    2.88 um     2356 A      3028 A   
 700.00 keV   3.614E+00  4.988E-02    3.02 um     2389 A      3091 A   
 800.00 keV   3.907E+00  4.487E-02    3.28 um     2459 A      3201 A   
 900.00 keV   4.183E+00  4.084E-02    3.52 um     2516 A      3294 A   
   1.00 MeV   4.444E+00  3.753E-02    3.75 um     2565 A      3374 A   
   1.10 MeV   4.688E+00  3.475E-02    3.96 um     2606 A      3444 A   
   1.20 MeV   4.916E+00  3.238E-02    4.17 um     2643 A      3506 A   
   1.30 MeV   5.129E+00  3.034E-02    4.36 um     2676 A      3562 A   
   1.40 MeV   5.327E+00  2.856E-02    4.55 um     2705 A      3612 A   
   1.50 MeV   5.509E+00  2.699E-02    4.74 um     2731 A      3658 A   
   1.60 MeV   5.676E+00  2.560E-02    4.91 um     2756 A      3699 A   
   1.70 MeV   5.829E+00  2.436E-02    5.09 um     2778 A      3738 A   
   1.80 MeV   5.969E+00  2.324E-02    5.25 um     2799 A      3774 A   
   2.00 MeV   6.210E+00  2.130E-02    5.58 um     2856 A      3839 A   
   2.25 MeV   6.448E+00  1.931E-02    5.97 um     2930 A      3910 A   
   2.50 MeV   6.629E+00  1.769E-02    6.35 um     2996 A      3973 A   
   2.75 MeV   6.763E+00  1.633E-02    6.72 um     3057 A      4030 A   
   3.00 MeV   6.862E+00  1.518E-02    7.09 um     3115 A      4082 A   
   3.25 MeV   6.932E+00  1.420E-02    7.45 um     3169 A      4131 A   
   3.50 MeV   6.979E+00  1.334E-02    7.81 um     3221 A      4176 A   
   3.75 MeV   7.010E+00  1.258E-02    8.17 um     3271 A      4219 A   
   4.00 MeV   7.026E+00  1.191E-02    8.52 um     3320 A      4259 A   
   4.50 MeV   7.025E+00  1.078E-02    9.23 um     3488 A      4336 A   
   5.00 MeV   6.992E+00  9.856E-03    9.94 um     3647 A      4408 A   
   5.50 MeV   6.934E+00  9.086E-03   10.66 um     3802 A      4475 A   
   6.00 MeV   6.858E+00  8.434E-03   11.38 um     3952 A      4541 A   
   6.50 MeV   6.767E+00  7.875E-03   12.11 um     4100 A      4604 A   
   7.00 MeV   6.665E+00  7.390E-03   12.86 um     4247 A      4666 A   
   8.00 MeV   6.441E+00  6.587E-03   14.38 um     4787 A      4787 A   
   9.00 MeV   6.206E+00  5.951E-03   15.96 um     5306 A      4907 A   
  10.00 MeV   5.969E+00  5.432E-03   17.60 um     5813 A      5027 A   
  11.00 MeV   5.739E+00  5.001E-03   19.31 um     6316 A      5150 A   
  12.00 MeV   5.519E+00  4.637E-03   21.09 um     6818 A      5275 A   
  13.00 MeV   5.309E+00  4.325E-03   22.93 um     7321 A      5403 A   
  14.00 MeV   5.112E+00  4.055E-03   24.85 um     7829 A      5536 A   
  15.00 MeV   4.926E+00  3.818E-03   26.84 um     8341 A      5673 A   
  16.00 MeV   4.752E+00  3.608E-03   28.90 um     8859 A      5815 A   
  17.00 MeV   4.589E+00  3.422E-03   31.04 um     9383 A      5962 A   
  18.00 MeV   4.436E+00  3.255E-03   33.26 um     9915 A      6115 A   
  20.00 MeV   4.157E+00  2.968E-03   37.91 um     1.19 um     6438 A   
  22.50 MeV   3.873E+00  2.676E-03   44.14 um     1.49 um     6875 A   
  25.00 MeV   3.677E+00  2.439E-03   50.76 um     1.76 um     7347 A   
  27.50 MeV   3.459E+00  2.242E-03   57.77 um     2.03 um     7852 A   
  30.00 MeV   3.247E+00  2.076E-03   65.23 um     2.29 um     8395 A   
  32.50 MeV   3.062E+00  1.934E-03   73.15 um     2.55 um     8977 A   
  35.00 MeV   2.900E+00  1.811E-03   81.54 um     2.82 um     9598 A   
  37.50 MeV   2.756E+00  1.704E-03   90.38 um     3.09 um     1.03 um  
  40.00 MeV   2.628E+00  1.609E-03   99.66 um     3.37 um     1.10 um  
  45.00 MeV   2.408E+00  1.449E-03  119.53 um     4.39 um     1.25 um  
  50.00 MeV   2.228E+00  1.320E-03  141.12 um     5.36 um     1.41 um  
  55.00 MeV   2.075E+00  1.212E-03  164.37 um     6.30 um     1.59 um  
  60.00 MeV   1.945E+00  1.122E-03  189.25 um     7.23 um     1.78 um  
  65.00 MeV   1.831E+00  1.044E-03  215.73 um     8.15 um     1.99 um  
  70.00 MeV   1.732E+00  9.773E-04  243.80 um     9.08 um     2.21 um  
  80.00 MeV   1.564E+00  8.672E-04  304.56 um    12.53 um     2.68 um  
  90.00 MeV   1.427E+00  7.803E-04  371.49 um    15.73 um     3.20 um  
 100.00 MeV   1.312E+00  7.099E-04  444.57 um    18.85 um     3.76 um  
 110.00 MeV   1.214E+00  6.516E-04  523.80 um    21.96 um     4.37 um  
 120.00 MeV   1.129E+00  6.025E-04  609.22 um    25.09 um     5.03 um  
 130.00 MeV   1.054E+00  5.606E-04  700.89 um    28.28 um     5.73 um  
 140.00 MeV   9.875E-01  5.244E-04  798.90 um    31.53 um     6.48 um  
 150.00 MeV   9.284E-01  4.927E-04  903.31 um    34.86 um     7.27 um  
 160.00 MeV   8.753E-01  4.649E-04    1.01 mm    38.27 um     8.12 um  
 170.00 MeV   8.275E-01  4.401E-04    1.13 mm    41.76 um     9.01 um  
 180.00 MeV   7.842E-01  4.179E-04    1.26 mm    45.35 um     9.96 um  
 200.00 MeV   7.095E-01  3.799E-04    1.52 mm    59.22 um    11.99 um  
 225.00 MeV   6.343E-01  3.415E-04    1.90 mm    79.41 um    14.83 um  
 250.00 MeV   5.755E-01  3.104E-04    2.31 mm    98.78 um    17.99 um  
 275.00 MeV   5.299E-01  2.847E-04    2.76 mm   117.86 um    21.44 um  
 300.00 MeV   4.953E-01  2.630E-04    3.25 mm   136.73 um    25.18 um  
 325.00 MeV   4.703E-01  2.446E-04    3.77 mm   155.28 um    29.15 um  
 350.00 MeV   4.443E-01  2.286E-04    4.32 mm   173.64 um    33.33 um  
 375.00 MeV   4.199E-01  2.147E-04    4.89 mm   192.16 um    37.75 um  
 400.00 MeV   3.982E-01  2.024E-04    5.51 mm   210.91 um    42.39 um  
 450.00 MeV   3.617E-01  1.818E-04    6.82 mm   281.83 um    52.38 um  
 500.00 MeV   3.320E-01  1.652E-04    8.27 mm   348.36 um    63.26 um  
 550.00 MeV   3.074E-01  1.514E-04    9.83 mm   413.16 um    75.01 um  
 600.00 MeV   2.867E-01  1.398E-04   11.51 mm   477.38 um    87.60 um  
 650.00 MeV   2.689E-01  1.300E-04   13.31 mm   541.57 um   101.01 um  
 700.00 MeV   2.536E-01  1.214E-04   15.23 mm   606.03 um   115.22 um  
 800.00 MeV   2.283E-01  1.075E-04   19.39 mm   845.45 um   145.94 um  
 900.00 MeV   2.083E-01  9.646E-05   23.97 mm     1.07 mm   179.60 um  
   1.00 GeV   1.921E-01  8.757E-05   28.97 mm     1.28 mm   216.06 um  
